OTTERY-ST-MARY-LITTLE-CLOSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY096952,Long,-3.28214,Lat,50.74934,Elevation,250,ft,,,,,,,,,,,,
Station no,1815/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.86,3.64,2.68,2.61,0.44,5.82,7.06,3.69,6.58,2.24,5.2,4.72,8.88,2.06,3.36,3.87,4.45,6.62,0.76,
February,2.45,0.04,5.69,0.16,4.15,3.82,6.5,1.14,1.75,5.05,4.61,0.32,1.53,0.61,2.09,2.41,2.85,1.34,1.62,
March,1.51,2.46,3.76,3.45,1.35,4.14,5.46,0.2,1.28,2.55,2.56,2.72,1.54,0.13,0.61,1.67,7.74,1.17,1.44,
April,3.25,2.76,1.98,3.8,4.31,2.51,3.36,0.09,2.31,3.15,1.89,1.62,1.15,2.38,0.75,2.3,2.46,2.39,1.95,
May,2.91,3.78,2.3,1.31,2.35,0.86,2.61,2.48,0.77,1.94,2.3,5.81,2.05,0.77,3.93,6.67,3.59,2.99,2.74,
June,2.87,2.96,2.94,1.79,4.07,2.58,0.76,2.34,2.36,0.78,1.46,0.67,1.59,2.09,2.94,2.85,3.25,2.06,0.59,
July,3.49,3.04,2.16,0.93,0.38,5.62,4.03,3.88,5.16,2.24,1.1,1.97,2.64,2.64,2.21,1.37,1.89,1.81,1.36,
August,4.3,1.6,1.04,4.83,2.3,0.11,1.43,3.73,2.69,0.1,3.76,4.51,2.66,3.64,2.16,4.92,1.35,4.05,1.64,
September,1.14,4.38,1.78,3.01,3.28,3.3,3,1.44,1.82,2.02,0.83,3.5,3.28,1.99,2.27,6.39,1.77,1.24,5.07,
October,0.44,6.49,2.64,2.37,3.76,1.07,3.79,3.11,5.2,4.68,1.5,3.4,4.05,5.34,4.02,2.11,0.97,3.16,5.71,
November,7.23,2.43,1.06,1.42,6.25,2.95,2.21,5.65,6.33,6.59,2.86,0.98,2.16,5.85,1.28,6.27,2.52,2.31,4.14,
December,1.74,3.02,3.04,12.93,5.8,3.33,4.48,4.91,1.66,3.6,2.8,4.3,4.89,3.58,5.5,5.01,2.9,7.25,1.42,
Total,34.19,36.6,31.07,38.61,38.44,36.11,44.69,32.66,37.91,34.94,30.87,34.52,36.42,31.08,31.12,45.84,35.74,36.39,28.44,
,,,,,,,,,,,,,,,,,,,,
1950 Gauge moved to Stn 1818/2 Ottery St Mary Kings School,,,,,,,,,,,,,,,,,,,,
