EAST-RETFORD,,,,,,,,,,
Grid ref,SK704811,Long,-0.94457414,Lat,53.322153,Elevation,50,ft,,
Station no,RR7208,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,3.27,0.18,0.67,2.14,0.86,1.96,1.24,1.91,,
February,0.6,2.17,0.64,0.3,1.46,1.61,,1.06,,
March,2.11,2.12,3.45,0.58,2.09,1.44,1.28,,,
April,0.54,1.16,1.45,0.59,1.18,1.07,1.21,2.48,,
May,2.34,0.79,2.58,0.46,4.74,3.21,1.04,2.44,,
June,2.3,2.76,1.68,2.76,1.88,1.45,3.01,,,
July,2.09,3.57,2.04,1.37,1.07,2.86,2.91,3.15,,
August,4.86,0.32,2.06,2.57,1.76,2.47,2.86,3.11,,
September,3.84,1.52,4.14,2.65,2.02,0.16,3.54,2.02,,
October,1.58,1.34,2.15,2.91,2.91,4.79,2.74,1.71,,
November,2.16,2.35,0.85,2.16,2.16,2.09,1.96,,,
December,2.44,1.28,0.98,1.14,1.97,0.63,1.67,,,
Total,28.13,19.56,22.69,19.63,24.1,23.74,,,,
