KIRKSTONE PASS,,,,,,,,,,,,,,,,,,,,
Grid ref,NY401080,Long,-2.9254,Lat,54.4643,Elevation,1500,ft,,,,,,,,,,,,
Station no,RR1874,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,14.75,29,,,,,,,23.75,,,,
February,,,,,,,,9.25,12,,,,,,,4.25,,,,
March,,,,,,,,4,11,,,,,,,2.75,,,,
April,,,,,,,,10.5,6,,,,,,,3.25,,,,
May,,,,,,,,3.5,4.75,,8.5,,,,,5.25,,,,
June,,,,,,,,2,1.75,,3.25,,,,,8,,,,
July,,,,,,,,6.5,1,,1.75,,,,,6,,,,
August,,,,,,,,6.25,,,2,,,,,7.5,,,,
September,,,,,,,,7.33,,,9.5,,,,,11.5,,,,
October,,,,,,,7.25,9.9,,,10.5,,,,,10.5,,,,
November,,,,,,,12,2.3,,,,,,,,,,,,
December,,,,,,,13.5,6.12,,,,,,,,,,,,
Total,,,,,,,,82.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
File comprises records from three separate gauges,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_06_pt1-page-106.csv: complete record Oct 1866-July 1868 Mr Jas Thompson,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1870-1879_09_pt4-page-042.csv Values for Jun-Oct 1870 only. Complete record no other info,,,,,,,,,,,,,,,,,,,,
"TYRain_1870-1879_09_pt4-page-041.csv: 1875 record for Mr Nicholson's ""large gauge"". The total, as on the record, seems an appropriate value for the area",,,,,,,,,,,,,,,,,,,,
