KIRKSTONE PASS Symons' records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY401080,Long,-2.9254,Lat,54.4643,Elevation,1500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,10.25,9.7,7.79,19.16,18.43,19.72,23.82,8,17.25,13.05,2.68,2.64,1.12,,,,,,8.68,,
February,,,,,,,,,,13.48,10.95,17.74,11.5,1.5,6.45,4.3,11.49,13.54,7.52,5.4,5.8,8.89,,,,,,5.74,,
March,,,,,,,,,,3.41,3.37,7.81,9.57,3.82,10.16,2.84,10.94,6.01,6.98,7.95,5.74,,,,,,,3.92,,
April,,,,,,,,,,5.51,3.66,7.2,3.58,1.26,4.73,3.02,4.53,3.32,4.63,5.44,4,,,,,,,3.94,,
May,,,,,,,,,,3.99,9.22,2.5,4.75,5.26,3.02,5.29,1.79,6.71,7.98,3.87,2.45,,,,,,,3.61,,
June,,,,,,,,,,3.62,4.09,4.17,10.25,7.17,3.75,8.02,6.72,7.49,5.3,10.52,9.43,,,,,,,1.06,,
July,,,,,,,,,,4.87,1.96,11.05,6.91,13.04,5.4,6.09,4.1,15.96,1.64,11.78,7.92,,,,,,,4.86,,
August,,,,,,,,,,2.57,2.42,8.19,8.23,13.29,14.01,7.54,8.03,5.92,10.03,9.64,2.87,,,,,,,4.14,,
September,,,,,,,,,,15.18,10.4,6.98,14.44,7.46,12.5,10.84,7.86,4.51,10.88,8.2,5.3,,,,,,,9.59,,
October,,,,,,,,,,6.79,10.97,11.84,11.7,9.24,22.66,10.6,6.51,19.1,9.39,7.18,1.12,,,,,,,6.97,,
November,,,,,,,,,,14.58,8.73,4.57,10.96,11.35,9.33,10.07,7.04,18.7,2.63,4.32,16.41,,,,,,,5.83,,
December,,,,,,,,,,13.04,6.67,8.37,16.08,11.28,3.6,9.67,13.75,12.56,4.35,5.87,11.66,,,,,,,9.71,,
Total,,,,,,,,,,97.29,82.14,98.21,127.13,103.1,115.33,102.1,90.76,131.07,84.38,82.85,75.34,,,,,,,68.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_06_pt1-page-119.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1870-1879_09_pt4-page-040.csv: CORRECTION 1873 Aug 13.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt5-page-024.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
