READING-THE-ACACIAS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU722729,Long,-0.96237866,Lat,51.450491,Elevation,157,ft.,,,,,,,,,,,,
Station no,RR4745,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.18,1.31,4.11,0.69,3.82,1.45,3.34,0.51,,,,,,,,,
February,,,,1.69,1.48,1.88,1.97,1.6,1.8,2.79,2.88,,,,,,,,,
March,,,,2.92,0.32,0.7,3.74,2.49,0.95,0.59,0.9,,,,,,,,,
April,,,,0.77,1.54,1.32,1.82,2.54,2.38,3.04,1.93,,,,,,,,,
May,,,,1.9,1.2,2.69,0.46,2.41,3.57,4.07,0.56,,,,,,,,,
June,,,,1.94,1.74,2.61,2.51,1.61,1.64,5.46,2.37,,,,,,,,,
July,,,,2.06,0.58,5.04,0.59,3.15,1.16,3.48,6.08,,,,,,,,,
August,,,,2.02,0.96,1.15,3.22,1.68,5.78,6.55,0.69,,,,,,,,,
September,,,,2.42,2.82,1.99,4.29,1.15,0.89,1.95,4.75,,,,,,,,,
October,,,4.05,2.43,3.31,6.52,1.37,1.43,3.25,0.92,4.6,,,,,,,,,
November,,,3.63,2.13,2.98,3.29,4.24,4.5,3.4,0.46,1.72,,,,,,,,,
December,,,3.88,0.61,1.62,0.92,5.35,1.47,1.47,0.73,3.28,,,,,,,,,
Total,,,,24.07,19.86,32.22,30.25,27.85,27.74,33.38,30.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is The Acacias. Altitudes match.,,,,,,,,,,,,,,,,,,,,
200m from READING EAST THORPE,,,,,,,,,,,,,,,,,,,,
