WATH SUTTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SD530826,Long,-2.7226003,Lat,54.236931,Elevation,150,ft,,,,,,,,,,,,
Station no,RR6575,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,,,,,,,,,5.32,4.99,6.85,3.13,3.41,,,,,,
February,,,,,,,,,,6.77,2.04,4.34,3.97,5.29,,,,,,
March,,,,,,,,,,0.53,1.05,2.88,4.37,3.26,,,,,,
April,,,,,,,,,,3.42,1.42,4.67,7.44,1.3,,,,,,
May,,,,,,,,,,3.84,1.92,4.06,5.77,1.81,,,,,,
June,,,,,,,,,,3.86,6.1,1.62,2.32,2.95,,,,,,
July,,,,,,,,,,6.71,7.41,5.43,7.19,3.75,,,,,,
August,,,,,,,,,,1.32,5.69,4.98,6.41,6.48,,,,,,
September,,,,,,,,,,4.64,7.5,2.27,9,2.54,,,,,,
October,,,,,,,,,,6.9,4.3,4.19,5.1,5.35,,,,,,
November,,,,,,,,,,5.4,4.75,4.4,4.24,3.84,,,,,,
December,,,,,,,,,,9.25,7.1,4.48,10.15,4.87,,,,,,
Total,,,,,,,,,,57.96,54.27,50.17,69.09,44.85,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-066.csv data duplicate of those on page 63 so not used,,,,,,,,,,,,,,,,,,,,
