GRANTHAM - 15 Swinegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK914361,Long,-0.642,Lat,52.915,Elevation,179,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880
January,1.84,3.00,2.11,3.97,0.70,3.18,4.17,0.28,0.66,2.81,0.67,1.62,2.54,0.72,2.42,1.09,3.23,1.87,2.42,1.27,0.77,2.68,1.90,1.39,1.82,2.42,2.78,1.33,0.92,0.33
February,0.41,1.19,1.94,0.51,2.42,1.53,0.54,0.42,1.25,1.03,1.79,0.42,0.23,1.01,1.67,2.04,1.69,1.30,2.22,1.67,1.33,1.84,1.80,1.88,1.76,2.09,2.12,1.07,2.35,1.86
March,3.27,0.49,2.12,0.74,1.47,0.30,1.82,1.45,1.33,1.76,1.83,3.55,0.61,2.66,1.67,1.34,2.57,2.01,2.72,1.48,0.98,1.68,1.28,0.99,0.75,2.45,1.66,0.46,0.74,1.48
April,0.98,0.23,1.60,0.82,0.53,1.70,2.49,3.16,2.81,0.72,1.26,1.33,0.85,1.13,0.43,0.68,2.00,1.67,2.27,0.51,3.44,4.03,0.74,0.80,0.86,3.60,3.27,2.39,2.62,2.53
May,0.89,0.85,1.34,2.03,1.07,2.07,0.50,2.28,1.64,2.88,1.23,2.12,0.62,1.41,2.25,0.90,2.95,0.42,4.45,0.60,1.18,2.17,1.87,0.64,1.25,0.58,1.49,3.93,3.70,0.79
June,3.21,3.78,2.81,1.04,2.97,1.48,0.67,1.60,2.34,3.58,2.29,1.76,2.59,0.91,1.38,1.76,1.16,0.54,1.41,1.15,2.33,3.81,1.92,0.27,2.61,2.74,1.76,2.13,3.27,3.19
July,4.66,3.22,3.26,1.45,4.14,2.00,2.17,2.69,2.03,3.12,4.35,1.31,0.76,0.34,2.46,3.12,2.62,0.16,0.68,0.75,3.65,4.23,1.77,1.33,5.30,0.56,2.31,1.07,3.02,5.20
August,2.21,4.84,2.65,1.83,1.42,3.39,4.48,3.83,1.92,4.67,0.48,2.06,1.00,0.59,3.21,3.54,2.40,2.84,1.25,1.48,0.95,2.34,2.58,1.68,2.24,1.12,2.62,5.28,3.71,2.39
September,1.63,4.71,1.48,0.63,0.35,3.11,2.08,2.51,1.70,2.88,1.40,2.84,1.99,1.59,0.17,3.56,1.58,2.33,2.61,0.89,3.92,2.26,1.37,1.88,1.21,3.58,1.70,1.34,2.84,4.84
October,2.36,3.17,3.32,1.29,5.21,2.96,2.47,3.59,3.27,1.78,1.01,2.22,2.39,1.31,4.46,1.82,2.04,2.53,1.56,3.20,1.36,3.48,1.40,2.00,4.96,2.27,1.53,2.37,0.75,5.67
November,1.12,5.45,2.08,1.56,2.12,1.92,1.31,0.84,1.72,2.23,2.92,1.02,2.37,2.12,2.26,1.52,0.43,0.83,1.78,1.49,1.19,3.34,2.44,2.32,3.89,3.27,1.85,4.33,1.27,1.43
December,1.08,1.26,1.27,2.11,0.78,1.56,0.33,2.05,1.97,2.21,1.28,1.30,0.85,2.02,0.90,1.40,2.35,5.38,3.41,2.63,1.09,3.73,0.29,1.76,1.07,5.25,1.74,1.73,1.20,2.39
Total,23.66,32.19,25.98,17.98,23.18,25.20,23.03,24.70,22.64,29.67,20.51,21.55,16.80,15.81,23.28,22.77,25.02,21.88,26.78,17.12,22.19,35.59,19.36,16.94,27.72,29.93,24.83,27.43,26.39,32.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Monthly readings begin in January 1851. There is a bracketed total for 1850, but no monthly readings - this total has been omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The observer, Mr J.W.Jeans, lived at 15 Swinegate Grantham.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
