CORSHAM-THE-GROVE,,,,,,,,,,
Grid ref,ST871702,Long,-2.1869475,Lat,51.430654,Elevation,300,ft,,
Station no,1491/5/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.16,2.9,0.8,1.87,2.22,3.61,2.45,2.93,4.45,4.01
February,4.31,0.7,2.07,3.33,1.43,0.26,2.73,4.21,0.35,2.4
March,3.59,3.37,0.7,2.91,1.4,0.77,3.02,1.23,4.13,1.94
April,3.35,1.79,2.71,0.41,1.07,1.51,0.23,1.13,2.58,1.41
May,2.25,4.49,2.56,2.28,4.51,0.44,2.16,2.94,2.28,1.31
June,2.12,2.59,1.95,4.57,3.49,2.49,1.21,3.76,1.13,2.9
July,1.25,1.27,3.55,2.46,0.35,2.63,4.59,3.34,2.7,4.04
August,6.35,5.13,3.14,2.79,0.36,4.45,3.19,2.65,2.54,3.76
September,2.58,2.4,3.67,2.89,1.11,3.97,3.87,4.27,0.13,
October,0.73,4.36,2.55,2.59,1.5,2.6,2.83,2.4,1.99,
November,7.06,4.8,1.56,5.65,3.08,0.75,1.77,2.85,3.12,
December,2.17,2.94,1.02,2.32,3.35,3.78,2.25,3.89,6.33,
Total,38.92,36.74,26.28,34.07,23.87,27.26,30.3,35.6,31.73,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1954 Jul approx 200yd move NE. Same NGR kept,,,,,,,,,,
