BARASSIE (THE TOWER),,,,,,,,,,,,,,,,,,,,,
Grid ref,NS325325,Long,-4.6572308,Lat,55.55733,Elevation,15,ft,,,,,,,,,,,,,
Station no,5226,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.76,3.47,4.67,3.03,,,,,,,
February,,,,,,,,,,,0.15,3.04,0.05,2.6,,,,,,,
March,,,,,,,,,,,2.3,0.88,2.22,2.35,,,,,,,
April,,,,,,,,,,,1.7,1.27,2.61,1.62,,,,,,,
May,,,,,,,,,,,1.25,2.7,2.65,2.38,,,,,,,
June,,,,,,,,,,,2.39,4.57,1.21,1.73,,,,,,,
July,,,,,,,,,,,1.98,4.08,2.85,2.89,,,,,,,
August,,,,,,,,,,,4.87,1.96,1.5,2.3,,,,,,,
September,,,,,,,,,,,2.87,1.02,5.09,1.1,,,,,,,
October,,,,,,,,,,,5.42,2.72,4.81,2.11,,,,,,,
November,,,,,,,,,,,4.72,6.72,2.88,1.67,,,,,,,
December,,,,,,,,,,,3.59,3.08,6.38,1.49,,,,,,,
Total,,,,,,,,,,,35,35.51,36.92,25.27,,,,,,,
