BAMPTON-CASTLE-GROVE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS958224,Long,-3.48547,Lat,50.99168,Elevation,350,ft,,,,,,,,,,,,,
Station no,1796,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,7.56,4.5,5.06,3.24,5.49,4.5,7.22,6.33,7.03,1.61,6.87,4.54,6.4,2.93,4.26,1.17,,,,,
February,1.8,0.3,5.49,9.89,0.68,6.29,3.25,4.88,5.49,1.76,1.58,3.38,0.04,5.44,0.39,4.87,,,,,
March,4.04,2.25,3.37,1.86,1.78,1.11,1,5.2,4.41,0.36,3.35,1.33,3.17,3.92,3.6,1.7,,,,,
April,5.08,1.07,4.86,3.6,4.43,3.93,2.09,2.47,1.68,0.91,3.36,3.92,3.97,1.83,3.4,6.01,,,,,
May,2.23,2.01,1.41,1.7,4.63,5.67,1.97,1.17,0.76,3.2,2.7,6.3,3.08,3.03,1.86,1.95,,,,,
June,2.69,0.65,1.44,0.38,3.45,0.1,2.73,3.95,2.51,3.18,0.58,3.5,1.44,3.26,2.3,2.94,,,,,
July,6.1,0.75,4.99,2.06,5.95,3.81,1.89,3.51,2.45,2.76,3.58,4.72,3.59,2.36,0.9,0.48,,,,,
August,1.71,2.25,4.42,4.2,6,3.58,2.29,4.01,3.71,4.13,4.75,4.93,3.26,1.49,4.02,3.13,,,,,
September,1.64,1.59,4.16,,6.6,4.47,2.21,7.33,1.42,0.83,6.53,1.54,6.9,1.76,3.04,4.77,,,,,
October,4.31,1.62,1.04,,5.04,4.6,4.46,3.55,5.87,6.36,5.35,1.12,8.45,4.35,3.14,5.7,,,,,
November,2.65,3.59,2.97,4.72,4.65,3.12,,4.53,5.8,10.93,6.33,7.24,3,0.82,1.21,7.12,,,,,
December,4.63,3.87,6.55,4.14,5.55,5.17,0.51,2.96,5.39,11.33,5.76,2.26,3.03,1.54,11.68,5.23,,,,,
Total,44.44,24.45,45.76,,54.25,46.35,,49.89,46.52,47.36,50.74,44.78,46.33,32.73,39.8,45.07,,,,,
,,,,,,,,,,,,,,,,,,,,,
Castle Grove located on OS map Elevation in area could not be 272ft as given on sheets,,,,,,,,,,,,,,,,,,,,,
1923 Sept Oct Estimated,,,,,,,,,,,,,,,,,,,,,
1926 Nov Gauge overflowed and some lost,,,,,,,,,,,,,,,,,,,,,
