LOUTH - KELSTERN GRANGE - 8 inch gauge,,,,,,,,
Grid ref,TF241899,Long,-0.135,Lat,53.391,Elevation,390,ft
Station no,RR6501,,,,,,,
,,,,,,,,
,1877,1878,1879,1880,,,,
January,3.98,2.38,1.29,0.17,,,,
February,2.62,1.69,3.07,2.20,,,,
March,2.12,1.54,1.08,2.01,,,,
April,3.01,1.13,2.73,2.47,,,,
May,1.86,3.44,4.26,1.20,,,,
June,1.22,2.37,4.01,4.28,,,,
July,2.68,1.20,3.26,5.37,,,,
August,4.11,5.92,3.01,1.88,,,,
September,4.97,1.97,3.47,5.14,,,,
October,2.07,2.37,1.23,6.38,,,,
November,2.73,6.09,2.02,3.48,,,,
December,2.27,2.03,1.05,2.64,,,,
Total,33.64,32.13,30.48,37.22,,,,
,,,,,,,,
TYRain_1870-1879_06_pt3/048,,,,,,,,
TYRain_1880-1889_08_pt1/052,,,,,,,,
