LOUTH - KELSTERN GRANGE - 5 inch gauge,,,,,,,,
Grid ref,TF241899,Long,-0.135,Lat,53.391,Elevation,390,ft
Station no,RR6501,,,,,,,
,,,,,,,,
,1877,1878,1879,1880,,,,
January,3.81,2.24,1.33,0.18,,,,
February,2.55,1.63,3.05,2.19,,,,
March,2.09,1.52,1.04,2.06,,,,
April,2.97,1.10,2.66,2.48,,,,
May,1.83,3.33,4.17,1.14,,,,
June,1.16,2.37,3.86,4.18,,,,
July,2.65,1.16,3.25,5.31,,,,
August,3.98,5.82,3.01,1.88,,,,
September,4.92,1.89,3.53,5.10,,,,
October,1.93,2.30,1.24,6.21,,,,
November,2.52,6.04,1.93,3.49,,,,
December,2.33,2.02,1.05,2.72,,,,
Total,32.74,31.42,30.12,36.94,,,,
,,,,,,,,
TYRain_1870-1879_06_pt3/049,,,,,,,,
TYRain_1880-1889_08_pt1/053,,,,,,,,
