UXBRIDGE HAREFIELD PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ049908,Long,-0.486625,Lat,51.606275,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.99,3.42,4.92,,2.66,1.86,1.44,4.78,3.56,1.91,3.88,1.25,4.45,1.51,2.65,0.37,2.16,1.35,3.06,2.39,2.06,3.4,2.74,0.81,,,,0.64,1.55,2.65,2.45,1.02,1.89,0.84,2.53,3.42,0.92,0.85,2.49,,,,,,,,
February,,,,,,2.54,3.8,1.77,,2.12,2.07,1.37,1.38,2.13,1.75,1.24,2.17,2.04,1.39,4.04,2.39,3.51,0.87,3.81,1.59,3.54,0.78,0.67,1.14,,,,1.34,3.11,1.89,0.14,0.37,3.04,1.3,2.14,3.69,1.18,1.35,0.75,,,,,,,,
March,,,,,,1.13,1.64,,,1.08,1.89,1.08,2.65,2.44,0.62,0.83,3.4,2.47,1.28,1.15,0.65,2.04,1.72,1.19,1.65,1.75,1.86,1.55,3.34,,,,1.16,0.53,1.72,1.44,3.68,3.41,0.85,0.38,0.6,1.65,1.81,3.52,,,,,,,,
April,,,,,,0.42,1.27,,,1.66,0.34,2.49,1.5,0.61,1.71,1.08,2.29,2.15,2.84,2.91,2.45,0.7,3.53,1.31,1.4,2,1.9,1.43,2.1,,,,0.73,0.1,1.7,1.53,0.52,1.59,1.18,2.29,0.68,2.39,0.9,2.28,,,,,,,,
May,,,,,,2.49,0.4,,,3.12,1.5,0.61,2.4,1.47,0.52,2.58,0.65,2.15,4.26,3.5,0.38,1.65,2.15,2.09,0.75,2.67,3.74,1.33,1.56,,,2.59,1.35,1.17,1.4,0.2,0.26,1.32,2.38,1.81,1.03,0.73,1.96,3.95,,,,,,,,
June,,,,,,2.34,2.1,,,1.04,0.55,3.66,2.8,1.33,1.48,2.62,1.59,0.94,3.81,5.18,3.93,2.04,2.82,1.3,1.91,1.88,1.05,1.05,2.86,,,1.56,1.96,0.75,1.04,0.47,1.49,3.84,0.91,1.82,2.67,1.42,3.93,5.41,,,,,,,,
July,,,,,,2.48,0.98,,1.37,1.1,1.31,2.84,3.1,1.96,1.44,6.59,1.28,3.43,1.12,3.57,4.66,1.71,2.2,2.48,2.38,0.23,2,0.91,5.73,,,3.04,2.26,2.12,3,5.1,1.31,0.61,0.51,0.79,0.81,1.38,1.64,3.77,,,,,,,,
August,,,,,,4.38,1.98,,3.92,1.59,2.02,0.84,2.21,2.09,1.1,1.18,2.3,3.4,4.6,5.85,0.53,4.81,1.53,1.27,1.23,0.94,0.71,1.94,2.68,,,3.7,3.69,1.51,2.96,3.11,1.43,2.34,1.08,0.6,3.14,1.86,5.22,3.26,,,,,,,,
September,,,,,,0.27,4.64,,2.79,3.29,1.76,4.82,1.46,3.01,2.52,2.51,4.15,0.98,1.22,2.66,7.46,2.06,2.64,3.54,1.81,4.85,2.19,2.62,0.66,,,1.57,3.49,0.88,1.92,0.93,7,2.11,0.46,1.86,0.67,1.09,1,,,,,,,,,
October,,,,,,6.18,1.23,,2.97,2.29,3.49,1.7,4.81,2.71,3.42,4.29,1.75,1.84,1.6,1.11,5.72,2.66,6.1,2.11,1.12,4.04,2.66,1.56,2.08,,,5.12,2.94,6.54,4.21,2.88,3.13,0.91,2.86,3.56,2.2,1.86,1.73,,,,,,,,,
