OLNEY-COLCHESTER-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP8893351477,Long,-0.70150465,Lat,52.154421,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1028/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.95,2.55,4.8,2.27,3.08,3.06,3.72,1.63,1.57,1.43,1.71,3.63,0.94,0.64,2.85,1.74,1.1,0.93,2.1,3.61,1.14,2.36,3.63,3.12
February,,,,,,,3.29,0.76,0.7,1.92,2.14,0.82,0.84,1.03,1.41,2.04,1.33,0.82,1.06,3.71,3.45,0.56,1.75,1.94,1.56,0.39,2.49,2.84,0.04,2.11
March,,,,,,,3.44,0.22,1.9,2.15,2.95,1.22,0.84,0.15,0.75,1.14,5.09,0.84,1.5,1.07,3.43,2.95,0.6,2.4,1.85,0.98,2.06,1.75,2.53,1.6
April,,,,,,,2.79,0.11,2.7,2.1,0.98,0.77,0.68,1.6,0.79,1.28,1.72,1.28,1.34,1.89,2.96,1.94,2.14,0.27,0.59,0.77,0.27,0.73,1.76,0.42
May,,,,,,,4.35,1.81,1.42,1.59,2.49,2.71,1.87,0.83,1.71,2.47,1.15,3.47,2.99,3.44,2.59,3.89,1.98,2.69,4.03,0.4,1.72,2,0.45,1.05
June,,,,,,,1.55,1.12,1.78,0.47,1.19,0.56,2.43,2.85,2.19,2.65,1.09,2.49,0.92,1.88,0.74,1.23,1.67,2.38,2.45,3.04,2.13,5.06,0.9,3.13
July,,,,,,,1.4,1.08,3.18,2.79,2.54,1.96,0.72,1.74,1.59,1.66,2.13,1.25,0.95,4.68,1.16,0.56,2.52,2.84,0.14,5.4,2.91,2.92,1.68,4.22
August,,,,,,,1.95,5.16,3.11,0.05,3.92,2.04,2.25,2.27,1.66,3.73,0.03,3.96,0.71,1.9,3.12,2.52,2.45,4.67,0.59,3.2,1.92,2.33,1.65,3.1
September,,,,,,,1.3,2.23,0.57,1.1,0.33,0.68,1.02,2.41,2.55,3.39,1.14,2.59,1.35,3.17,2.02,3.07,1.24,2.14,1.63,1.65,3.62,2.23,0.03,3.95
October,,,,,,,3.44,2.97,4.12,2.13,2.16,2.01,2.08,3.17,3.53,1.68,0.21,3.28,5.06,0.59,0.84,3.15,1.85,1.84,1.2,1.84,1.61,2.4,1.65,4.95
November,,,,,,,1.5,2.35,2.97,6.68,2.47,1.85,1.12,2.87,0.3,4.82,1.61,1.22,2.28,3.82,4.57,3.1,1.53,4.15,1.29,0.82,1.76,1.8,1.73,3.35
December,,,,,,,1.8,3.11,2.24,1.45,1.01,1.83,0.88,1.09,2.95,1.85,2.34,2.61,1.3,1.17,1.7,2.32,0.48,2.15,1.97,2.9,2.13,2.53,3.74,3.22
Total,,,,,,,29.76,23.47,29.49,24.7,25.26,19.51,18.45,21.64,21,28.14,19.55,27.44,20.4,27.96,29.43,27.03,19.31,28.4,19.4,25,23.76,28.95,19.79,34.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
