SNAPE-GREEN-HEYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM389594,Long,1.4930743,Lat,52.181078,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,1.7,3,1.35,2.47,1.41,1.86,1.86,3.19,2.05,1.7,3.5,1.4,1.95,1.09,2.24,1.38,3.42,1.49,2.02,2.1,0.86,0.84,1.63,2.76,,,,,
February,,,1.3,0.6,1.57,2.98,3.03,0.69,0.83,2.94,0.95,0.3,1.82,3.23,1.56,1.79,1.71,2.2,0.96,0.45,0.98,2.72,0.55,1.63,0.35,2.72,,,,,
March,,,2.7,1.88,3.61,1.01,3.42,2.53,0.66,2,0.74,0.86,1.85,1.14,0.44,1.55,0.23,2.07,1.54,0.08,1.16,0.53,1.46,1.79,2.33,0.56,,,,,
April,,,0.27,1.94,0.67,1.16,1.61,1.83,3.35,3.66,3,1.59,2.64,0.82,2.49,2.49,2.72,2.35,1.48,1.73,2.06,3.99,2.93,1.34,2.31,2.41,,,,,
May,,,0.39,1.27,1.11,2.24,1.24,0.55,1.08,0.55,1.1,1.27,1.4,1.27,4.33,1.68,1.42,0.62,1.69,1.03,2.36,2.62,2.94,1.85,1.92,1.99,,,,,
June,,,2.56,0.86,0.9,0.7,2.66,2.44,1.94,1.31,1.55,0.37,1.65,0.66,1.52,0.47,3.21,4.19,1.64,0.53,1.26,1.4,0.33,2.26,0.66,2.63,,,,,
July,,,2.38,2.14,1.81,5.48,1.05,2.76,3.92,2.66,2.82,0.22,2.79,1.34,3.08,1.79,1.8,2.73,2.62,3.1,3.81,3.3,3.93,1.1,1.92,0.84,,,,,
August,,,5.68,1.57,0.63,1.78,4.79,4.48,0.77,2.38,1.78,1.28,1.42,1.82,3.12,2.61,1.05,4.33,1.97,1.4,4.66,2.39,1.52,0.99,2.49,1.47,,,,,
September,,,2.94,1.7,0.98,2.93,1.09,1.51,4.48,0.67,2.9,1.64,3.2,1.33,3.47,3.37,1.11,3.34,0.83,0.26,7.6,1.89,1.44,4.36,1.94,4.42,,,,,
October,,,1.55,3.58,2.45,1.65,2.64,4.23,2.42,2.28,0.51,0.87,1.23,3.68,4.65,2.36,2.79,1.89,1.71,3.17,0.8,0.91,4.67,1.92,1.69,3.2,,,,,
November,,,1.88,2.45,2.72,2.07,3.01,1.59,1.5,2.62,0.84,2.06,1.35,3.35,1.6,3.14,3.96,3.44,2.83,4.09,3.74,1.99,1.31,3.94,1.79,4.18,,,,,
December,,,1.89,0.79,5.19,4.76,4.03,1.49,3.44,4,2.92,1.59,1.5,3.04,2.76,2.46,0.61,2.74,3.45,4.3,2.14,1.35,0.53,0.62,3.71,2.44,,,,,
Total,,,25.24,21.78,22.99,29.23,29.98,25.96,26.25,28.26,21.16,13.75,24.35,23.08,30.97,24.8,22.85,31.28,24.14,21.63,32.59,25.19,22.47,22.64,22.74,29.62,,,,,
