CARRICKFERGUS LOUGH MOURNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW555470,Long,-5.80076,Lat,54.759024,Elevation,596,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.24,4.48,4.39,3.45,2.74,3.85,1.82,4.81,4.98,4.62,4.19,3.94,2.31,6.73,6.35,4.42,5.15,5.46,4.52,8.27,4,2.14,5.05,4.93,1.64,4,4.4,4.05,4.83,5.13,3.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.17,0.57,3.56,0.12,3.62,0.51,4.95,3.19,6.58,1.94,3.7,3.18,3.3,2.09,2.48,1.57,4.77,3.72,1.03,3.1,2.9,4.59,3.09,1.18,1.33,4.23,4.44,1.29,2.96,5.29,1.25,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.62,1.99,1.43,2.12,2.67,1.86,1.44,2.97,2.17,1.52,3.98,4.73,3.47,3.13,1.09,0.78,1.58,2.37,5.7,2.4,3.1,2.12,3.56,2.06,0.48,4.77,2.23,2,3.9,2.96,2.76,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.61,1.8,2.94,3.68,2.03,4.38,2.86,1.13,2.57,0.35,3,4.74,2.04,2.04,3.25,3.09,2.36,1.3,4.29,2.71,3.26,4.73,1.94,2.21,2.7,1.31,2.9,1.25,1.73,2.29,2.93,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.69,2.05,4.66,3.04,2.93,3.8,1.03,2.02,1.26,3.61,0.82,1.62,2.73,3.53,4.67,1.97,5.06,1.56,4.51,2.04,2.42,1.94,3.08,1.49,2.42,4.62,3.49,1.75,2.76,3.26,1.38,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.41,2.54,6.01,2.06,2.5,2.4,4.69,5.58,3.11,4.87,2.32,1.41,0.43,0.82,4.15,3.25,5.17,4.6,4.54,5.33,1.06,2.91,2.19,3.4,2.19,3.85,5.94,3.08,2.09,6.14,2.57,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.15,4.98,4.07,3.98,3.83,2.82,1.39,6.43,3.52,4.88,4.35,5.45,5.14,3.96,2.78,5.17,5.99,3.73,4.88,3.47,3.37,6.17,3.41,2.33,6.7,4.76,1.59,3.48,4.35,6.38,3.87,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,7.16,7.14,3.58,3.09,2.95,6.14,1.4,3.99,3.73,2.41,2.62,1.32,4.72,6.54,6.54,2.73,1.39,5.38,0.22,5.88,5.19,5.58,4.78,7.07,3.77,3.61,1.42,6.91,3.99,5.62,1.47,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.23,5.36,2.36,3.97,0.8,6.26,4.58,3.82,2.33,3.98,3.33,2.58,1.79,5.31,3.8,6.61,3.78,7.69,3.22,6.01,3.63,7.46,3.1,2.21,3.5,4.76,4.78,4.61,5.7,4.77,1.65,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.62,5.98,2.71,4.04,3.44,5.27,6.72,3.21,3.33,7.87,3.57,5.68,5.3,4.19,4.13,5.01,3.72,1.63,2.95,4.43,6.52,3.19,0.68,4.37,2.7,7.46,3.98,3.5,4.31,2.56,4.06,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
