"CARRICKFERGUS LOUGH MOURNE",,,,,,,,,,,,
Grid ref,IJ4160492322,Long,-5.800760,Lat,54.759024,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.66,3.10,2.50,5.28,3.13,1.85,6.16,2.20,3.60,2.22,,
February,3.87,1.82,2.24,2.93,4.73,1.77,2.51,1.95,2.21,3.05,,
March,0.78,2.89,2.50,5.63,2.51,3.31,2.47,4.48,4.84,4.55,,
April,3.73,3.40,2.41,1.59,3.52,3.13,2.20,2.10,3.61,4.61,,
May,4.40,2.19,4.59,3.97,3.60,2.09,5.80,4.83,2.90,2.44,,
June,4.80,4.02,2.09,3.00,1.99,2.48,1.49,5.60,4.02,3.10,,
July,4.03,1.37,2.63,5.34,3.73,2.66,3.49,2.93,3.84,4.02,,
August,6.15,4.37,3.75,5.37,6.08,9.23,5.13,4.52,2.70,2.69,,
September,3.96,4.20,5.39,3.94,4.93,2.48,1.42,1.67,4.35,2.86,,
October,5.23,4.87,2.43,7.29,1.66,2.50,6.19,5.00,2.18,5.81,,
November,5.87,4.46,5.04,3.28,4.29,6.11,3.80,4.14,2.54,1.47,,
December,4.05,3.65,3.22,4.12,2.61,3.13,3.68,4.12,3.62,3.83,,
Total,51.53,40.34,38.79,51.74,42.78,40.74,44.34,43.54,40.41,40.65,,
Calc annual,51.53,40.34,38.79,51.74,42.78,40.74,44.34,43.54,40.41,40.65,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
