"CARRICKFERGUS (LOUGH MOURNE)",,,,,,,,,,,,
Grid ref,IJ416922,Long,-5.800885,Lat,54.757930,,,,,,,
Station no,6227,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.05,4.93,1.64,4.00,4.40,4.05,4.83,5.13,3.20,5.00,,
February,3.09,1.18,1.33,4.23,4.44,1.29,2.96,5.29,1.25,3.67,,
March,3.56,2.06,0.48,4.77,2.23,2.00,3.90,2.96,2.76,3.39,,
April,1.94,2.21,2.70,1.31,2.90,1.25,1.73,2.29,2.93,3.81,,
May,3.08,1.49,2.42,4.62,3.49,1.75,2.76,3.26,1.38,1.74,,
June,2.19,3.40,2.19,3.85,5.94,3.08,2.09,6.14,2.57,2.32,,
July,3.41,2.33,6.70,4.76,1.59,3.48,4.35,6.38,3.87,8.44,,
August,4.78,7.07,3.77,3.61,1.42,6.91,3.99,5.62,1.47,6.26,,
September,3.10,2.21,3.50,4.76,4.78,4.61,5.70,4.77,1.65,3.42,,
October,0.68,4.37,2.70,7.46,3.98,3.50,4.31,2.56,4.06,7.45,,
November,7.81,2.21,4.40,6.71,3.15,1.87,2.41,2.32,4.18,5.38,,
December,6.17,5.04,4.16,6.24,6.67,4.61,5.12,6.09,6.81,3.33,,
Total,44.86,38.50,35.99,56.32,44.99,38.40,44.15,52.81,36.13,54.21,,
Calc annual,44.86,38.50,35.99,56.32,44.99,38.40,44.15,52.81,36.13,54.21,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
