"LEEDS, WORTLEY RESERVOIR",,,,,,,,,,,,
Grid ref,SE269325,Long,-1.593186,Lat,53.788129,,,,,,,
Station no,3278,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.81,1.33,1.11,2.24,3.00,0.79,3.20,0.94,1.65,1.41,,
February,4.29,1.05,1.33,2.35,4.55,1.28,2.24,1.79,1.67,0.69,,
March,0.46,1.63,0.93,3.23,2.06,2.34,1.81,1.90,3.42,3.62,,
April,0.94,1.98,1.60,1.43,1.39,2.54,0.47,1.76,2.35,2.64,,
May,1.18,0.92,2.87,3.43,3.00,0.60,2.17,3.66,2.39,1.70,,
June,2.78,1.03,1.61,1.43,0.93,1.73,1.77,2.39,1.17,2.61,,
July,3.97,1.39,1.96,2.71,1.57,1.26,1.88,2.25,3.13,3.15,,
August,4.62,1.25,3.69,2.38,3.19,4.76,1.94,1.67,2.31,2.12,,
September,0.51,0.94,1.00,4.15,0.81,1.43,0.64,0.65,2.59,1.67,,
October,3.44,1.75,2.55,7.76,0.43,2.13,4.55,5.61,1.49,2.01,,
November,3.15,3.02,1.67,1.21,1.73,3.80,3.48,3.24,1.53,0.39,,
December,2.96,4.45,2.54,1.38,1.69,0.27,2.49,3.19,1.70,4.07,,
Total,32.11,20.74,22.86,33.70,24.35,22.93,26.64,29.05,25.40,26.08,,
Calc annual,32.11,20.74,22.86,33.70,24.35,22.93,26.64,29.05,25.40,26.08,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
