WELLINGORE VICARAGE,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK981565,Long,-0.536,Lat,53.097,Elevation,245,ft,,,,,,,,,,,,,,
Station no,2546,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937
January,,2.32,1.46,3.49,1.61,1.49,2.34,1.50,1.74,1.34,2.29,1.35,3.12,1.42,2.23,2.64,0.94,1.82,2.05,2.56,4.14,3.07
February,,0.86,1.22,2.49,1.53,0.28,2.40,3.95,0.78,1.72,1.25,1.45,0.89,0.54,0.43,2.56,0.56,3.27,0.97,2.36,2.33,2.78
March,,1.59,0.59,2.73,2.29,0.65,1.32,1.32,0.73,0.84,0.55,1.64,1.66,0.38,2.27,0.66,1.65,2.83,1.85,0.69,1.36,2.01
April,1.73,1.11,1.21,1.83,4.45,0.84,2.05,0.93,1.48,1.22,1.87,1.58,0.83,0.85,2.95,2.70,1.83,1.70,3.04,2.85,1.66,2.53
May,2.77,1.87,2.78,0.72,2.26,1.51,0.49,1.95,3.22,3.23,2.08,0.83,1.32,1.21,1.56,2.73,4.41,2.36,0.69,0.55,0.99,3.91
June,1.30,1.15,0.47,0.81,2.42,0.65,1.07,1.08,1.53,0.17,2.81,2.75,2.30,0.89,0.91,2.31,0.62,3.06,0.65,2.70,3.49,
July,1.73,1.08,2.25,2.53,2.18,0.33,4.69,3.45,2.08,0.80,1.87,2.06,0.95,1.31,3.96,4.23,6.53,1.90,2.65,0.46,4.75,
August,2.25,5.24,1.43,2.95,1.52,4.00,3.11,2.15,2.51,2.00,2.64,3.23,3.18,1.51,2.03,4.19,1.84,0.59,2.08,2.37,1.37,
September,2.40,0.94,3.23,2.50,1.52,0.83,2.22,2.00,2.56,2.79,0.77,4.32,0.39,0.62,4.77,3.43,1.82,2.47,1.40,4.89,2.41,
October,1.88,2.62,1.59,1.76,1.19,2.43,0.98,1.98,4.28,2.74,1.94,1.99,4.05,2.05,1.57,0.62,3.20,3.30,1.40,2.67,1.71,
November,3.31,1.00,1.81,1.57,0.61,1.43,1.15,1.93,1.25,2.02,2.60,2.79,2.02,3.98,2.99,2.54,1.79,2.20,2.07,4.56,2.65,
December,2.52,0.78,2.48,2.69,2.26,1.43,2.63,2.38,2.38,1.59,0.79,2.62,2.11,3.70,1.93,1.27,0.89,0.53,3.72,2.85,1.18,
Total,,20.56,20.52,26.07,23.84,15.87,24.45,24.62,24.54,20.46,21.46,26.61,22.82,18.46,27.60,29.88,26.08,26.03,22.57,29.51,28.04,
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/053,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/044,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/123,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# The gauge and observer (Miss Morley) were previously at Temple Bruer.,,,,,,,,,,,,,,,,,,,,,,
