WELLINGORE GARDENS,,,,,,,,,,,,
Grid ref,SK985560,Long,-0.531,Lat,53.092,Elevation,240,ft,,,,
Station no,2545/5,,,,,,,,,,,
,,,,,,,,,,,,
,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955
January,2.20,2.22,1.21,,3.52,1.19,0.84,2.09,,0.86,1.62,1.26
February,-999.00,1.80,2.36,,0.81,0.46,3.52,3.00,,0.03,1.95,2.65
March,-999.00,0.77,1.26,,0.31,1.35,0.56,3.53,,,1.21,1.30
April,2.33,1.62,1.32,1.87,1.88,1.50,2.20,1.69,,,0.45,0.99
May,1.77,1.58,1.33,0.41,2.50,1.75,2.32,3.42,,3.00,3.14,4.90
June,1.85,2.92,2.96,2.11,3.74,1.37,1.06,1.27,,0.99,2.50,4.01
July,2.14,2.27,1.58,2.26,1.21,2.20,2.46,0.70,,1.85,1.68,0.75
August,3.58,2.93,4.32,0.05,2.80,2.01,1.49,4.42,,1.19,3.67,0.32
September,2.88,1.49,2.81,1.08,2.03,1.25,3.49,0.86,,0.60,1.84,1.25
October,2.64,3.13,1.70,0.16,2.56,3.54,1.24,1.49,,2.25,2.66,1.19
November,3.53,0.55,4.37,1.13,0.75,2.42,4.66,4.88,,1.71,3.65,1.29
December,1.07,1.52,2.87,2.19,2.76,1.40,1.25,1.20,,0.64,2.56,1.24
Total,26.88,22.80,28.09,,24.87,20.44,25.09,28.55,,,26.93,21.15
,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/209,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/209,,,,,,,,,,,,
,,,,,,,,,,,,
# February and March 1944 readings are shown in brackets on the sheet and identified as apportioned.,,,,,,,,,,,,
"# January to March 1947 readings are shown as estimated due to snow, and have been omitted.",,,,,,,,,,,,
