PICKERING - THE RECTORY,,,,,,,,,,,,,,,,,
Grid ref,SE800841,Long,-0.774,Lat,54.246,Elevation,150,ft,,,,,,,,,
Station no,3460,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902
January,3.68,1.56,1.07,1.43,2.13,1.38,1.25,1.82,2.05,3.94,0.72,2.33,0.53,2.73,3.46,1.37,0.98
February,0.95,0.66,2.27,2.11,1.30,0.07,2.47,2.53,2.89,0.68,0.66,1.69,1.27,1.24,4.00,1.88,1.72
March,2.53,1.80,3.68,2.16,1.38,2.17,1.12,0.32,0.98,2.13,2.11,2.86,2.29,1.98,1.13,1.71,0.89
April,1.96,0.82,1.75,2.67,0.68,1.97,1.79,0.53,1.07,1.41,0.73,1.69,1.92,2.46,1.21,1.37,0.95
May,4.24,1.96,0.70,2.20,2.35,2.53,3.86,1.79,2.07,0.70,1.06,0.95,1.57,3.37,1.27,0.46,1.75
June,0.45,0.12,1.71,0.28,2.32,0.55,4.01,2.09,3.87,2.33,3.35,2.10,2.20,0.73,1.58,1.32,
July,3.87,0.90,5.19,2.78,1.68,3.54,1.00,2.82,1.52,4.74,0.93,0.30,1.15,1.05,1.64,1.54,
August,2.41,1.53,2.63,4.92,3.71,4.82,3.04,1.48,2.35,2.20,1.60,3.83,2.98,0.98,4.45,2.14,
September,1.54,3.52,1.21,1.02,1.79,1.42,1.50,1.34,1.67,1.30,3.24,2.38,0.33,3.48,0.96,1.02,
October,2.85,3.64,1.12,5.59,2.28,3.14,6.23,1.64,4.95,2.95,2.81,1.61,2.79,1.77,4.15,1.57,
November,2.18,2.15,3.35,0.92,3.02,3.03,1.56,4.65,1.05,3.02,1.69,2.74,3.37,1.02,2.83,3.25,
December,4.76,2.84,1.56,1.50,1.15,2.50,1.47,2.18,2.72,1.65,3.86,2.01,2.02,2.84,2.89,4.87,
Total,31.42,21.50,26.24,27.58,23.79,27.12,29.30,23.19,27.19,27.05,22.76,24.49,22.42,23.65,29.57,22.50,
,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/046,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/189,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/078,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# The 1900s sheet is shared with the Low Hall site.,,,,,,,,,,,,,,,,,
# The gauge moved to Low Hall in June 1902.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# The Rectory is shown as The Vicarage on the old OS map. Now 23 Hall Garth.,,,,,,,,,,,,,,,,,
