PICKERING - LOW HALL,,,,,,,,,
Grid ref,SE799838,Long,-0.775,Lat,54.244,Elevation,90,ft,
Station no,3460,,,,,,,,
,,,,,,,,,
,1902,1903,1904,1905,1906,1907,1908,1909,1910
January,,2.15,2.13,0.47,3.15,1.39,1.72,0.85,3.56
February,,1.41,2.61,1.03,2.00,1.00,2.00,1.47,2.57
March,,2.09,1.64,1.99,2.36,1.20,2.50,4.17,0.73
April,,2.49,1.82,2.26,1.05,1.55,2.31,2.81,1.94
May,,2.28,2.59,0.92,1.79,3.40,2.14,1.64,2.71
June,1.70,1.38,0.57,0.85,0.73,2.23,0.51,2.32,2.86
July,2.20,3.38,1.13,1.32,1.05,1.20,1.83,2.44,2.27
August,2.63,2.39,3.59,3.36,2.46,1.92,1.44,4.72,3.07
September,0.65,2.87,1.53,1.92,0.57,0.49,2.05,1.63,0.64
October,2.31,6.05,0.62,2.56,4.31,3.99,1.15,2.67,2.88
November,1.09,1.88,2.18,4.68,3.78,2.79,1.54,0.89,
December,2.71,1.18,2.14,0.38,2.88,3.22,1.98,4.31,
Total,,29.55,22.55,21.74,26.13,24.38,21.17,29.92,
,,,,,,,,,
TYRain_1900-1909_22_pt1/078,,,,,,,,,
TYRain_1910-1919_21_pt1/020,,,,,,,,,
,,,,,,,,,
# The 1900s sheet is shared with the Rectory site. The gauge moved to Low Hall from the Rectory in June 1902.,,,,,,,,,
# The 1910s sheet is shared with the Hungate Hall site. The gauge and observer moved to Hungate Hall in November 1910.,,,,,,,,,
