PICKERING - HUNGATE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE798839,Long,-0.777,Lat,54.245,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
January,,1.93,3.37,3.72,1.64,3.43,0.60,4.96,2.47,2.97,3.78,2.93,3.45,1.65,2.81,1.14,2.56,2.09,4.23,2.71,3.44,2.43,1.70,1.79,1.46,3.28,4.31,3.63,2.82,3.87
February,,1.08,1.42,0.95,1.51,3.86,3.43,1.19,2.40,1.65,0.91,0.29,2.36,4.38,2.03,3.06,2.47,1.45,1.60,1.18,1.67,3.16,0.98,4.12,1.86,3.50,2.66,4.01,1.20,1.38
March,,2.35,3.17,1.93,1.90,1.71,3.68,2.29,1.34,4.01,2.23,1.03,2.54,1.67,0.89,1.47,0.65,1.42,2.92,0.20,2.15,1.18,2.10,2.51,2.64,0.84,1.41,3.08,0.22,2.60
April,,1.00,0.15,2.28,0.62,1.04,1.37,2.23,1.39,1.64,3.23,1.23,1.74,1.61,2.10,2.57,1.00,2.15,1.22,1.26,3.99,3.98,1.88,1.94,2.47,2.32,1.58,2.52,0.21,1.26
May,,1.04,2.28,2.06,1.74,1.67,3.16,1.31,2.03,0.97,2.19,1.80,0.98,2.52,4.13,2.00,1.99,1.07,1.34,1.18,1.03,2.73,4.69,2.81,1.18,1.15,1.49,2.48,2.99,1.65
June,,4.84,5.44,1.72,2.61,0.25,2.66,2.72,0.79,1.18,0.99,0.33,2.36,0.75,1.34,0.03,3.42,3.31,3.94,1.65,1.78,4.07,0.62,1.96,1.25,4.05,2.86,1.01,2.04,1.97
July,,1.70,3.90,0.38,5.33,5.64,2.24,1.45,4.03,2.70,5.22,1.41,4.77,4.56,3.58,1.36,2.43,2.27,0.67,1.97,4.02,4.19,4.92,1.25,1.82,0.31,3.14,1.56,2.81,2.01
August,,2.61,4.83,1.29,1.12,2.51,2.62,7.01,2.34,2.31,1.59,3.73,3.34,3.99,2.69,3.88,3.90,5.83,3.17,2.40,2.93,3.54,2.04,0.28,3.19,1.35,3.26,1.80,3.14,1.62
September,,2.91,1.89,0.85,2.12,1.29,1.26,0.92,5.65,0.85,1.96,1.22,2.23,3.01,2.20,2.47,1.16,6.34,0.35,0.34,3.89,5.35,2.60,1.70,1.26,4.70,1.98,1.61,1.83,0.85
October,,2.62,3.12,2.91,2.54,1.32,3.39,3.31,1.38,5.40,1.54,1.86,1.39,2.37,3.99,2.55,3.51,2.58,3.90,2.36,1.91,1.43,3.85,4.88,2.12,3.22,2.01,2.54,4.04,
November,3.42,4.24,3.78,2.07,3.23,2.98,4.15,1.98,1.52,3.22,0.93,2.49,1.51,4.45,1.27,3.25,3.40,4.30,3.20,3.39,4.29,3.08,1.45,3.06,1.96,4.08,2.76,2.10,3.15,
December,2.44,4.13,1.36,1.93,5.22,4.96,3.05,2.16,4.34,4.00,3.59,2.03,3.19,3.52,2.14,4.09,1.21,2.39,1.96,4.42,2.06,1.00,1.41,1.00,3.69,2.39,1.55,4.69,4.50,
Total,,30.45,34.71,22.09,29.58,30.66,31.61,31.53,29.68,30.90,28.16,20.35,29.86,34.48,29.17,27.87,27.70,35.20,28.50,23.06,33.16,36.14,28.24,27.30,24.90,31.19,29.01,31.03,28.95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1910s sheet is shared with the Low Hall site. The gauge and observer moved to Hungate Hall from Low Hall in November 1910.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1933 total has been reduced by 0.03 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The final October 1939 figure is shown bracketed and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Hungate Hall was renamed Houndgate Hall in 1936; its modern address is 20 Hungate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
