"PICKERING HUNGATE HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3460,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.78,2.93,3.45,1.65,2.81,1.14,2.56,2.09,4.23,2.71,3.44,
February,0.91,0.29,2.36,4.38,2.03,3.06,2.47,1.45,1.60,1.18,1.67,
March,2.23,1.03,2.54,1.67,0.89,1.47,0.65,1.42,2.92,0.20,2.15,
April,3.23,1.23,1.74,1.61,2.10,2.57,1.00,2.15,1.22,1.26,3.99,
May,2.19,1.80,0.98,2.52,4.13,2.00,1.99,1.07,1.34,1.18,1.03,
June,0.99,0.33,2.36,0.75,1.34,0.03,3.42,3.31,3.94,1.65,1.78,
July,5.22,1.41,4.77,4.56,3.58,1.36,2.43,2.27,0.67,1.97,4.02,
August,1.59,3.73,3.34,3.99,2.69,3.88,3.90,5.83,3.17,2.40,2.93,
September,1.96,1.22,2.23,3.01,2.20,2.47,1.16,6.34,0.35,0.34,3.89,
October,1.54,1.86,1.39,2.37,3.99,2.55,3.51,2.58,3.90,2.36,1.91,
November,0.93,2.49,1.51,4.45,1.27,3.25,3.40,4.30,3.20,3.39,4.29,
December,3.59,2.03,3.19,3.52,2.14,4.09,1.21,2.39,1.96,4.42,2.06,
Total,28.16,20.35,29.86,34.48,29.17,27.87,27.70,35.20,28.50,23.06,33.16,
Calc annual,28.16,20.35,29.86,34.48,29.17,27.87,27.70,35.20,28.50,23.06,33.16,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
