WEARDALE W.W. (WASKERLEY 1),,,,,,,,,,,,
Grid ref,NZ014447,Long,-1.979749,Lat,54.797181,,,,,,,
Station no,3545,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.23,1.04,0.90,3.02,2.50,0.37,2.49,0.35,1.22,0.90,,
February,5.09,0.68,0.70,2.73,2.37,0.41,0.70,1.35,1.06,1.12,,
March,1.27,1.13,0.49,3.00,2.25,2.73,1.16,1.06,4.89,3.22,,
April,1.60,1.70,2.33,1.50,1.62,1.59,1.44,1.85,2.90,2.28,,
May,1.59,1.91,1.73,3.43,1.69,1.60,4.39,3.10,3.02,1.91,,
June,3.94,2.05,2.76,1.76,2.78,1.09,0.86,4.14,0.87,3.56,,
July,1.13,3.07,3.52,5.09,1.87,0.47,0.66,2.36,2.65,2.01,,
August,6.69,2.34,1.90,2.33,3.16,4.06,4.03,1.76,0.81,3.19,,
September,0.71,1.91,0.90,3.90,0.49,2.28,1.16,0.42,3.77,3.14,,
October,5.33,2.69,3.33,9.02,0.93,2.27,4.53,5.86,2.78,2.45,,
November,3.39,4.06,1.85,1.27,2.24,4.60,3.46,2.61,1.80,0.29,,
December,2.68,1.11,3.48,2.04,1.39,1.88,1.53,4.09,0.77,2.25,,
Total,37.65,23.69,23.89,39.09,23.29,23.35,26.41,28.95,26.54,26.32,,
Calc annual,37.65,23.69,23.89,39.09,23.29,23.35,26.41,28.95,26.54,26.32,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
