WEARDALE W.W. (WASKERLEY 1),,,,,,,,,,,,
Grid ref,NZ026451,Long,-1.961080,Lat,54.800771,,,,,,,
Station no,3545,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,5.15,1.09,3.36,3.10,4.00,2.19,2.75,2.90,4.76,,
February,3.50,1.63,1.89,2.75,3.35,3.75,2.29,4.88,0.40,3.22,,
March,3.90,1.60,0.25,2.00,1.95,1.49,1.44,2.80,1.28,3.06,,
April,2.35,1.58,2.68,0.72,0.57,1.25,0.44,1.77,2.87,1.51,,
May,3.96,1.95,3.10,4.57,1.73,0.74,1.80,3.85,0.75,2.50,,
June,1.40,1.27,3.72,1.85,2.55,3.50,1.56,4.18,2.05,0.52,,
July,1.82,1.25,1.78,1.50,1.26,3.02,4.22,3.31,1.30,6.05,,
August,5.08,4.06,4.85,8.00,1.02,9.30,5.28,3.17,0.88,3.93,,
September,1.75,4.42,2.11,3.01,0.99,3.21,4.16,2.56,1.24,3.20,,
October,0.89,4.19,2.15,4.21,1.76,1.93,2.51,2.39,2.30,12.55,,
November,7.79,3.23,1.75,4.54,1.85,0.84,2.78,0.55,6.47,3.85,,
December,4.98,3.10,1.22,3.20,3.68,2.65,2.95,5.50,6.13,2.96,,
Total,40.34,33.43,26.59,39.71,23.81,35.68,31.62,37.71,28.57,48.11,,
Calc annual,40.34,33.43,26.59,39.71,23.81,35.68,31.62,37.71,28.57,48.11,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
