Rainfall at,WEARDALE W.W. (WASKERLEY 1)
,
Station no,3545,
,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.05,2.55,1.81,2.55,2.09,4.93,3.90,3.87,5.44,2.54,
February,2.29,0.52,3.51,0.48,4.44,3.26,4.35,1.88,2.12,3.12,
March,1.50,2.25,1.13,3.29,1.27,2.30,4.17,0.92,4.07,3.47,
April,3.89,2.80,1.40,5.54,3.63,2.13,3.13,0.37,1.52,1.62,
May,3.17,4.15,3.18,2.07,1.12,2.15,3.84,3.02,1.93,1.08,
June,3.89,1.36,2.39,3.31,3.00,3.97,1.21,2.89,2.98,0.69,
July,3.21,3.97,1.89,3.07,1.06,3.15,2.11,2.79,4.45,6.12,
August,4.24,1.91,1.42,3.54,1.50,1.91,2.78,4.39,5.20,0.94,
September,2.30,2.83,2.90,1.98,5.72,3.91,2.46,2.09,2.16,1.61,
October,1.22,5.61,4.74,5.17,5.57,2.91,2.80,5.86,7.93,4.83,
November,3.30,1.26,4.16,3.13,5.80,4.10,1.64,4.09,4.15,4.27,
December,1.47,1.44,1.99,5.67,2.37,3.27,4.37,4.13,1.87,2.33,
Total,32.53,30.65,30.52,39.80,37.57,37.99,36.76,36.30,43.82,32.62,
Calc annual,32.53,30.65,30.52,39.80,37.57,37.99,36.76,36.30,43.82,32.62,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,
