SAFFRON-WALDEN-WIMBISH,,,,,,,,,,,,,,,,,,,,
Grid ref,TL590368,Long,0.31510519,Lat,52.006864,Elevation,325,ft,,,,,,,,,,,,
Station no,RR6693,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,0.98,3.63,3,2.75,2.89,2.63,1.04,0.91,3.31,,,,,,,
February,,,,,0.93,2.12,3.04,1.69,1.58,2.45,0.82,1.42,0.84,,,,,,,
March,,,,,3.09,1.76,1.58,2.26,1.86,2.02,2,1.67,2.38,,,,,,,
April,,,,,0.43,0.31,1.96,1.99,1.49,2.16,0.49,2.3,2.19,,,,,,,
May,,,,,2.31,1.16,1.69,2.79,1.44,3.39,0.66,0.81,2.18,,,,,,,
June,,,,,1.55,1.76,2.92,0.93,0.66,0.96,0.32,2.31,2.97,,,,,,,
July,,,,,0.42,3.96,2.59,2.67,0.33,0.52,1.13,3.72,5.29,,,,,,,
August,,,,,0.87,4.19,3.91,2.31,3.31,1.38,1.46,0.5,1.24,,,,,,,
September,,,,,2.01,0.38,3.12,2.53,2.06,3.56,1.87,4.82,0.99,,,,,,,
October,,,,,1.21,5.74,1.1,2.5,2.39,1.74,2.91,1.07,3.43,,,,,,,
November,,,,,2.47,2,2.32,0.8,1.17,2.41,1.08,0.83,3.44,,,,,,,
December,,,,,0.78,1.73,2.53,2.6,4.39,3.35,3.19,1.43,3.9,,,,,,,
Total,,,,,17.05,28.74,29.76,25.82,23.57,26.57,16.97,21.79,32.16,,,,,,,
