"BARNSLEY (JORDAN HILL)",,,,,,,,,,,,
Grid ref,SE336069,Long,-1.494257,Lat,53.557653,,,,,,,
Station no,317175,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.65,2.16,0.30,1.91,1.81,3.71,1.15,2.27,2.96,5.02,,
February,2.99,0.48,1.66,2.65,2.11,1.17,2.20,4.50,0.13,2.13,,
March,3.07,1.51,0.79,1.89,2.74,0.69,0.86,1.87,1.01,1.78,,
April,0.87,1.47,2.00,0.30,0.42,2.31,0.16,0.34,3.36,0.86,,
May,4.45,1.81,2.00,3.57,2.62,0.66,0.73,2.69,0.59,1.37,,
June,0.71,0.99,1.80,1.42,2.29,2.31,1.51,5.61,1.80,0.95,,
July,2.00,1.30,2.89,1.52,0.44,4.30,2.45,4.77,1.13,2.96,,
August,3.96,1.55,1.95,5.96,0.54,5.83,4.57,3.50,0.67,5.41,,
September,1.39,1.83,1.67,1.66,0.84,3.06,3.32,2.02,0.04,3.07,,
October,0.76,3.85,1.31,3.22,1.81,1.16,1.16,1.50,1.43,7.09,,
November,6.28,1.32,1.82,4.54,1.81,0.58,1.91,0.60,3.45,3.67,,
December,2.72,1.66,1.20,2.65,2.55,3.27,2.77,3.60,3.40,2.51,,
Total,30.85,19.93,19.39,31.29,19.98,29.05,22.79,33.27,19.97,36.82,,
Calc annual,30.85,19.93,19.39,31.29,19.98,29.05,22.79,33.27,19.97,36.82,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
