BARNSLEY JORDAN HILL - old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE336069,Long,-1.494257,Lat,53.557653,Elevation,460,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.38,0.52,3,0.97,1.51,1.25,2.54,1.16,4.9,2.96,0.41,3.06,1.3,1.98,1.97,3.17,2.82,2.35,3.74,0.9,,,,,,,
February,,,,,4.27,0.98,2.07,1.74,1.53,0.67,2,1.44,1.57,0.61,1.5,2.99,4.22,0.59,2.09,2.19,2.17,0.12,2.2,5.69,,,,,,,
March,,,,,1.87,2,1.29,1.69,2.58,3.29,0.34,0.96,2.57,3.45,1.77,1.24,4.83,1.86,1.2,4.38,1.8,0.68,1.82,1.93,,,,,,,
April,,,,,1.34,2.32,0.68,1.36,1.87,1.54,1.89,0.69,0.2,2.54,0.7,0.84,0.76,2.14,1.18,1.51,3.69,1.02,3.29,2.11,,,,,,,
May,,,,3.34,3.1,0.54,1.85,3.68,2.54,1.96,2.24,0.66,4.22,2.05,0.98,1.63,2.61,2.01,2.81,1.02,4.27,1.09,0.73,2.78,,,,,,,
June,,,,1.64,0.96,2.33,1.54,3.04,1.49,4.35,3.96,3.03,4.08,0.55,1.97,1.07,1.22,2.01,1.17,0.65,3.71,0.3,1,,,,,,,,
July,,,,3.2,1.64,1.42,2.73,1.28,2.28,3.88,2.89,0.12,4.69,1.57,2.26,3.74,1.21,0.66,2.93,4.06,4.49,0.57,3.24,,,,,,,,
August,,,,4.87,3.69,3.36,1.43,1.62,2.1,1.73,3.26,1.24,6.2,0.96,1.15,3.06,2.03,3.65,1.63,2.76,0.68,5.13,6.12,,,,,,,,
September,,,,3.15,0.75,0.96,0.62,0.45,1.65,2.68,0.22,1.99,1.52,2.84,1.62,0.71,2.04,0.58,6.41,1.6,1.26,0.69,2.98,,,,,,,,
October,,,,6.68,0.45,1.83,5.17,4.91,1.04,1.92,2.25,2.13,2.72,3.07,2.16,1.29,3.02,3.04,1.33,3.29,2.03,1.41,0.97,,,,,,,,
November,,,,1.16,0.83,3.6,3.14,2.81,0.92,0.47,4.11,3.21,2.05,1.67,3.18,2.12,3.24,0.93,1.3,1.6,1.04,1.99,1.02,,,,,,,,
December,,,,1.02,1.3,0.48,1.8,2.04,1.3,5.38,2.49,4.33,2.25,1.48,4.97,6.77,2.47,1.9,3.04,3.32,2.51,3.06,3.13,,,,,,,,
Total,,,,33.15,22.58,20.34,25.32,25.59,20.81,29.12,28.19,20.96,36.97,23.75,22.67,28.52,28.95,21.35,27.06,29.55,30.47,18.41,30.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_20_pt1-page-103.csv gauge moved here May 1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
