CAMPS RESERVOIR NO 3,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 99769 22610,Long,-3.587727,Lat,55.486979,Elevation,969,ft,,,,,,,,,,,,
Station no,5163/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,8.44,7.04,7.5,2.09,4.75,9.86,7.43,4.89,1.79,1.28,4.33,6.43,4.73,,,,,,
February,,0.35,3,0.26,4.61,3.32,3.98,2.81,6.61,1.56,5.23,1.63,4.64,1.57,,,,,,
March,1.04,3.14,2.97,3.11,1.67,2.06,1.26,3.62,4.57,4.85,2.37,2.3,1.5,0.59,,,,,,
April,2.98,3.56,1.69,4.57,4.34,1.33,1.96,0.58,1.7,3.16,1.74,2.55,2.57,2.42,,,,,,
May,3.56,3.05,3.95,3.9,0.96,0.96,1.85,4.24,0.66,1.06,4.47,3.62,4.71,,,,,,,
June,6.51,1.81,2.37,2.24,3.93,3.83,2.32,6,2.9,1.24,1.65,1.24,3.95,,,,,,,
July,4.02,4.76,4.23,2.63,1.24,4.9,4.48,5.45,5.48,6.4,3.42,3.11,2.47,,,,,,,
August,2.87,1.09,2.26,5.38,2.48,1.68,3.55,3.38,1.38,1.92,5.09,5.69,4.89,,,,,,,
September,1.12,5.15,2.28,5.29,5.31,3.22,2.38,3.89,2.05,4.61,2.16,5.04,4.18,,,,,,,
October,4,7.05,4.32,6.69,6.84,5.02,5.59,8.27,2.7,4.5,3.76,5.63,8.88,,,,,,,
November,8.88,3.84,2.18,1.76,5.84,4.08,0.6,10.46,8.12,5.86,4.77,1.68,2.28,,,,,,,
December,4.22,10.57,0.72,8.47,2.43,6.21,3.17,4.27,2.05,5.16,2.63,8.01,2.66,,,,,,,
Total,,52.81,37.01,51.8,41.74,41.36,41,60.4,43.11,42.11,38.57,44.83,49.16,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location based on ,,,,,,,,,,,,,,,,,,,,
"55°29'13""N"," 3°35'16""W",,,,,,,,,,,,,,,,,,,
at base of sheet,,,,,,,,,,,,,,,,,,,,
1931 Ja Fe Estd Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5163/2,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
