SALISBURY-REDLYNCH-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU199212,Long,-1.7178451,Lat,50.989859,Elevation,340,ft,,,,,,,,,,,,
Station no,RR6387,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.8,1.69,1.45,3.63,1.49,5.35,5.74,0.98,4.19,1.63,1.06,4.18,5.1
February,,,,,,,3.5,1.83,1.58,0.36,4.71,1.76,2.99,1.42,5.36,6.76,5.34,0.96,2,3.49
March,,,,,,,1.17,0.74,5.19,4.38,1.22,2.95,7.03,3.11,4.67,1.08,3.04,2.91,1.27,5.86
April,,,,,,,1.09,3.68,2.74,1.31,2.69,1.95,0.43,3.33,1.27,1.15,0.56,2.79,2.42,2.27
May,,,,,,,2.84,2.17,2.03,0.95,1.4,1.94,1.72,2.63,1.6,3.13,1.42,1.95,1.68,0.9
June,,,,,,,2.05,1.51,0.61,3.07,4.55,1.91,5,0.57,0.28,0.8,1.75,3.34,0.97,0.8
July,,,,,,,0.48,1.52,1.72,3.38,2.07,0,2.41,1.16,3.28,5.52,0.91,3.16,6.9,1.35
August,,,,,,,0.95,1.69,3.02,3.07,2.69,0.79,8.22,1.58,2.72,1.62,6.05,5.27,2.84,4
September,,,,,,,0.9,0.58,2.53,3.8,0.46,0.85,2.53,3.03,1.17,2.01,2.48,1.95,5.96,
October,,,,,,,7.47,9.88,1.33,8.31,5.98,5.16,4.72,4.7,3.14,4.68,6.46,5.01,1.65,
November,,,,,,,4.45,3.34,1.31,0.57,3.57,5.11,2.34,3.6,5.65,2.59,5.92,0.91,3.36,
December,,,,,,,2.06,4.85,3.07,4.75,8.73,10.82,5.38,1.88,9.05,7.82,4.46,1.2,3.43,
Total,,,,,,,,32.59,26.82,35.4,41.7,34.73,48.12,32.75,39.17,41.35,40.02,30.51,36.66,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1914 Apr IDR,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
