"SALISBURY, REDLYNCH HOUSE",,,,,,,,,,,,
Grid ref,ST700330,Long,-2.429782,Lat,51.095516,,,,,,,
Station no,RR6387,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.80,1.69,1.45,,
February,,,,,,,3.50,1.83,1.58,0.36,,
March,,,,,,,1.17,0.74,5.19,4.38,,
April,,,,,,,1.09,3.68,2.74,1.31,,
May,,,,,,,2.84,2.17,2.03,0.95,,
June,,,,,,,2.05,1.51,0.61,3.07,,
July,,,,,,,0.48,1.52,1.72,3.38,,
August,,,,,,,0.95,1.69,3.02,3.07,,
September,,,,,,,0.90,0.58,2.53,3.80,,
October,,,,,,,7.47,9.88,1.33,8.31,,
November,,,,,,,4.45,3.34,1.31,0.57,,
December,,,,,,,2.06,4.85,3.07,4.75,,
Total,,,,,,,,32.59,26.82,35.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,26.96,32.59,26.82,35.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
