CLEISH HILLS DEANHEAD FARM  /CLEISH-HILLS-D,,,,,,,,,,,
Grid ref,NT 08736 92895,Long,-3.469481,Lat,56.120044,Elevation,725,ft,,,
Station no,RR8267,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,5.1,2.35,5.2,,
February,,,,,,,4.62,2,2.7,,
March,,,,,,,1.4,2.57,3.8,,
April,,,,,,,1.97,1.5,1,,
May,,,,,,,2.4,2.7,1.65,,
June,,,,,,,4.07,3.8,5.25,,
July,,,,,,,4,3,2.2,,
August,,,,,,,2.6,9.1,6.4,,
September,,,,,,,4.7,7.02,3.95,,
October,,,,,,,4.9,5.7,4.6,,
November,,,,,,,5.4,3.15,,,
December,,,,,,,0.95,2.4,,,
Total,,,,,,,42.11,45.29,,,
,,,,,,,,,,,
1926 G moved from Deanhead,,,,,,,,,,,
,,,,,,,,,,,
Station no,RR8267,,,,,,,,,,
Midas,,,,,,,,,,,
HydStn,,,,,,,,,,,
