KENNINGHALL COUNCIL SCHOOL,,,,,,,,,,,,
Grid ref,TM035858,Long,0.992038,Lat,52.432283,,,,,,,
Station no,RR6648,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.02,0.90,0.59,,
February,,,,,,,,1.76,2.19,0.41,,
March,,,,,,,,1.22,1.67,2.42,,
April,,,,,,,,3.46,3.38,1.31,,
May,,,,,,,,2.74,1.69,1.12,,
June,,,,,,,,2.52,0.52,3.05,,
July,,,,,,,,1.43,2.71,2.49,,
August,,,,,,,,1.40,2.91,1.75,,
September,,,,,,,,0.49,1.52,1.82,,
October,,,,,,,,3.32,1.84,3.40,,
November,,,,,,,,2.52,1.16,0.94,,
December,,,,,,,,2.63,1.50,4.36,,
Total,,,,,,,,25.51,21.99,23.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.51,21.99,23.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
