KENNINGHALL-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,TM035858,Long,0.992038,Lat,52.432283,Elevation,160,ft,,,,,,,,,,,,
Station no,RR6648,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,2.02,0.9,0.59,1.86,1.58,2.77,2.83,1.5,2.86,1.69,1.95,3.3,2.52
February,,,,,,,,1.76,2.19,0.41,2.1,1.45,1.23,0.69,1.57,2.35,4.06,0.78,1.12,2.59
March,,,,,,,,1.22,1.67,2.42,0.88,2.39,2.45,1.56,3.66,1.5,2.83,2.7,0.74,2.69
April,,,,,,,,3.46,3.38,1.31,1.94,1.21,0.3,2,0.62,0.81,1.96,1.94,3.32,2.01
May,,,,,,,,2.74,1.69,1.12,3.47,1.18,1.49,1.44,1.15,1.66,2.04,0.66,1.22,0.18
June,,,,,,,,2.52,0.52,3.05,1.17,3.55,2.54,1.04,1.72,1.67,2.18,1.28,1.77,1.95
July,,,,,,,,1.43,2.71,2.49,2.74,0.41,2.65,1.18,1.94,3.79,1.98,2.8,4.37,2.08
August,,,,,,,,1.4,2.91,1.75,2.8,0.4,,0.84,0.74,1.51,3.06,5.71,2.03,
September,,,,,,,,0.49,1.52,1.82,1.07,1.7,2.76,1.3,0.78,1.24,1.56,2.21,4.02,
October,,,,,,,,3.32,1.84,3.4,1.56,2.22,1.53,3.35,2.49,1.27,2.8,3.63,2.64,
November,,,,,,,,2.52,1.16,0.94,2.89,3.51,2.57,2.22,2.46,2.09,2.67,1.5,2.49,
December,,,,,,,,2.63,1.5,4.36,5.6,3.35,2.27,0.47,5.34,3.59,2.65,1.22,3.72,
Total,,,,,,,,25.51,21.99,23.66,28.08,22.95,,18.92,23.97,24.34,29.48,26.38,30.74,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1912 Aug estimated,,,,,,,,,,,,,,,,,,,,
"Note that in the period between 1910 and 1916, there were approximately 6 small moves to points within a few hundred yards of the school, each during the month of August",,,,,,,,,,,,,,,,,,,,
