DUNHAM-MASSEY-SEWAGE-WORKS-1ST-GAUGE,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ722877,Long,-2.4194275,Lat,53.385406,Elevation,55,ft.,,,,,,,,,,,,,,
Station no,2739/5/1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,
January,,,,,,1.7,2.58,2.93,6.16,1.4,4.42,3.99,4.07,1.58,2.4,2.37,5.18,2.91,,,,
February,,,,,,4.94,2.76,1.14,3.33,1.19,0.31,2.66,0.18,2.79,0.34,2.79,2.4,4.68,,,,
March,,,,,,1.18,1.16,2.16,1.97,0.65,2.69,0.43,2.02,2.41,2.35,1.19,1.68,1.51,,,,
April,,,,,,1.65,0.96,2.28,1.66,0.84,1.84,2.6,2.91,1.02,1.99,2.83,1.72,2.74,,,,
May,,,,,,4.34,2.99,1.36,1.41,2.61,1.11,3,4.89,1.66,2.06,0.97,0.84,2.31,,,,
June,,,,,,0.17,1.53,4.32,4.53,1.06,0.96,4.76,0.25,4.14,2.15,4.1,4.03,,,,,
July,,,,,,2.94,3.29,2.5,1.9,1.49,6.26,3.07,2.94,1.65,2.18,1.35,2.97,,,,,
August,,,,,6.12,4.37,3.65,4.65,4.01,3.42,3.96,8.02,1.33,1.43,3.17,1.93,2.37,,,,,
September,,,,,3.62,4.38,3.29,5.87,1.2,1.55,3.73,3.01,2.88,0.99,2.83,7.28,5.16,,,,,
October,,,,,3.97,4.07,4.03,4.27,3.52,5.45,4.01,1.81,6.77,3.81,4.36,6.38,2.8,,,,,
November,,,,,1.39,2.79,4.91,3.11,5.86,7.48,4.09,5.67,2.36,1.55,2.17,5.5,2.89,,,,,
December,,,,,3.46,1.55,0.86,1.75,2.32,5.78,3.56,1.17,1.27,1.55,5.74,4.59,2.53,,,,,
Total,,,,,,34.08,32.01,36.34,37.87,32.92,36.94,40.19,31.87,24.58,31.74,41.28,34.57,,,,,
,,,,,,,,,,,,,,,,,,,,,,
This gauge apears to be a forerunner to Midas src_id 12157 DUNHAM MASSEY S WKS Start 1936 end 2014,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is 450m WNW of the sewage farm. Two overlapping gauges are assumed to be in the same location. Altitudes match. NGR could be closer to sewage farm. ,,,,,,,,,,,,,,,,,,,,,,
