"DUNHAM MASSEY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SJ722877,Long,-2.419427,Lat,53.385406,,,,,,,
Station no,2739/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,3.48,1.22,2.67,2.46,4.52,1.88,3.16,2.74,4.51,,
February,2.17,1.10,0.86,2.96,1.88,0.44,2.09,4.28,0.23,2.01,,
March,4.47,1.87,1.85,2.30,1.96,0.99,2.57,1.36,1.37,1.26,,
April,1.75,3.62,2.80,0.64,1.85,3.62,0.49,0.69,3.03,1.55,,
May,2.70,2.38,2.07,2.20,2.77,1.02,1.18,2.84,1.53,2.16,,
June,1.02,2.23,2.11,3.08,3.10,2.63,1.32,4.85,2.09,1.76,,
July,2.57,1.52,3.61,3.64,0.65,5.05,4.13,4.34,2.53,4.20,,
August,4.08,1.39,3.63,4.30,0.87,9.24,3.94,4.35,0.44,5.71,,
September,2.62,3.43,3.11,3.67,2.01,2.42,5.38,4.41,0.20,3.20,,
October,0.91,3.35,1.82,5.79,2.00,2.08,3.29,3.28,3.04,3.90,,
November,4.37,2.20,2.70,5.22,1.63,1.05,1.61,1.29,3.45,4.95,,
December,4.83,2.97,1.19,4.33,3.40,2.71,2.75,3.87,5.24,3.57,,
Total,37.03,29.54,26.97,40.80,24.58,35.77,30.63,38.72,25.89,38.78,,
Calc annual,34.03,29.54,26.97,40.80,24.58,35.77,30.63,38.72,25.89,38.78,,
Difference,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
