DUNHAM-MASSEY-SEWAGE-WORKS-2ND-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ722877,Long,-2.4194275,Lat,53.385406,Elevation,55,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2739/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.93,4.45,5.05,2.18,1.89,3.13,4.24,4.01,1.89,3.5,2.02,6.56,2.39,1.21,2.54,3.48,1.22,2.67,2.46,4.52,1.88,3.16,2.74,4.51
February,,,,,,,4.56,1.01,3,1.89,3.11,1.4,2.37,1.19,2.68,4.72,0.45,1.79,1.46,4.11,2.17,1.1,0.86,2.96,1.88,0.44,2.09,4.28,0.23,2.01
March,,,,,,,1.32,0.91,1.81,2.83,2.49,2.32,0.93,0.59,0.85,0.81,5.25,1.1,1.76,1.12,4.47,1.87,1.85,2.3,1.96,0.99,2.57,1.36,1.37,1.26
April,,,,,,,2.77,0.3,2.18,2.03,1.1,1.59,1.32,1.93,2.03,1.01,2.2,1.21,2.59,2.92,1.75,3.62,2.8,0.64,1.85,3.62,0.49,0.69,3.03,1.55
May,,,,,,,2.36,3.52,1.03,1.47,1.87,3.46,2.26,2.94,3.75,1.28,2.55,1.28,3.2,1.12,2.7,2.38,2.07,2.2,2.77,1.02,1.18,2.84,1.53,2.16
June,,,,,,,1.08,2.91,2.95,0.95,0.39,0.43,2.86,2.02,2.53,3.14,2.27,4.35,0.84,2.48,1.02,2.23,2.11,3.08,3.1,2.63,1.32,4.85,2.09,1.76
July,,,,,,,1.98,4.57,7.08,3.44,3.66,3.23,1.81,3.02,1.78,3.68,1.98,2.32,1.76,3.14,2.57,1.52,3.61,3.64,0.65,5.05,4.13,4.34,2.53,4.2
August,,,,,,,2.72,3.97,1.96,1.06,4.8,3.84,3.99,2.95,2.83,3.87,0.31,5.33,1.95,3.53,4.08,1.39,3.63,4.3,0.87,9.24,3.94,4.35,0.44,5.71
September,,,,,,,0.96,1.75,1.09,3.25,0.59,1.86,3.34,3.23,1.5,4.36,2.06,1.88,0.76,5.19,2.62,3.43,3.11,3.67,2.01,2.42,5.38,4.41,0.2,3.2
October,,,,,,2.81,1.78,5.21,2.27,3.59,3.75,4.28,3.02,3.29,4.74,0.85,0.53,2.34,2.7,2.15,0.91,3.35,1.82,5.79,2,2.08,3.29,3.28,3.04,3.9
November,,,,,,3.1,1.92,3.94,4.92,6.57,2.5,0.63,2.17,5.48,0.51,4.68,3.04,1.85,4.27,4.39,7.37,2.2,2.7,5.22,1.63,1.05,1.61,1.29,3.45,4.95
December,,,,,,2.68,2.13,3.95,2.45,2.99,0.84,3.66,1.52,2.23,2.25,3.07,2.61,2.84,4.29,2.54,4.83,2.97,1.19,4.33,3.4,2.71,2.75,3.87,5.24,3.57
Total,,,,,,,26.51,36.49,35.79,32.25,26.99,29.83,29.83,32.88,27.34,34.97,25.27,32.85,27.97,33.9,37.03,29.54,26.97,40.8,24.58,35.77,30.63,38.72,25.89,38.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 12157 DUNHAM MASSEY S WKS Start 1936 end 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is 450m WNW of the sewage farm. Two overlapping gauges are assumed to be in the same location. Altitudes match. NGR could be closer to sewage farm. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
