﻿LLANIDLOES-MOUNT-SEVERN-2ND-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN943840,Long,-3.5565343,Lat,52.443708,Elevation,600,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4246/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,8.82,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,6.99,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,2.82,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s records and is Mount Severn. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
