"COMRIE CLATHICK",,,,,,,,,,,,
Grid ref,NN809228,Long,-3.930409,Lat,56.382431,,,,,,,
Station no,RR4366,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,7.82,4.14,1.53,6.56,2.30,4.44,5.76,,
February,,,,7.33,4.27,2.16,3.07,2.83,2.56,1.29,,
March,,,,7.49,2.23,5.27,2.60,2.88,5.34,4.22,,
April,,,,0.36,4.52,2.10,1.13,2.57,1.13,4.72,,
May,,,,1.77,3.74,1.91,5.52,3.95,2.43,3.39,,
June,,,,3.01,2.19,1.76,0.89,4.70,1.70,2.79,,
July,,,,4.73,2.34,2.20,2.16,2.57,2.72,2.34,,
August,,,,4.90,4.76,4.54,6.16,5.02,3.59,2.82,,
September,,,,3.59,4.99,2.07,1.35,1.43,5.68,1.61,,
October,,,,9.87,1.53,3.06,7.42,4.92,3.28,6.86,,
November,,,,2.19,0.74,7.48,4.84,3.58,3.50,1.72,,
December,,,,4.54,3.54,3.83,2.56,5.60,4.08,4.60,,
Total,,,,57.60,38.99,37.91,44.26,42.35,40.45,42.12,,
Calc annual,0.00,0.00,0.00,57.60,38.99,37.91,44.26,42.35,40.45,42.12,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
