COMRIE CLATHICK,,,,,,,,,,,,,,,,,,,,
Grid ref,NN809228,Long,-3.930409,Lat,56.382431,Elevation,300,ft,,,,,,,,,,,,
Station no,RR4366,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,7.82,4.14,1.53,6.56,2.3,4.44,5.76,4.81,1.67,4.35,8.88,3.33,3,,,,
February,,,,7.33,4.27,2.16,3.07,2.83,2.56,1.29,4.75,4.85,4.99,3.75,7.49,9.1,,,,
March,,,,7.49,2.23,5.27,2.6,2.88,5.34,4.22,2.95,1.08,5.32,8.42,6.17,,,,,
April,,,,0.36,4.52,2.1,1.13,2.57,1.13,4.72,3.53,2.31,0.6,4.16,2.31,,,,,
May,,,,1.77,3.74,1.91,5.52,3.95,2.43,3.39,1.28,1.95,1.11,3.58,1.59,,,,,
June,,,,3.01,2.19,1.76,0.89,4.7,1.7,2.79,1.51,3.27,6.45,2.74,2.04,,,,,
July,,,,4.73,2.34,2.2,2.16,2.57,2.72,2.34,4.89,2.31,2.22,1.09,2.26,,,,,
August,,,,4.9,4.76,4.54,6.16,5.02,3.59,2.82,10.63,2.84,5.41,0.71,4.33,,,,,
September,,,,3.59,4.99,2.07,1.35,1.43,5.68,1.61,1.15,1.08,2.58,3.27,0.94,,,,,
October,,,,9.87,1.53,3.06,7.42,4.92,3.28,6.86,2.82,3.5,4.27,3.11,1.57,,,,,
November,,,,2.19,0.74,7.48,4.84,3.58,3.5,1.72,4.65,6.64,3.4,4.6,5.23,,,,,
December,,,,4.54,3.54,3.83,2.56,5.6,4.08,4.6,4.67,8.52,10.22,2.81,9.81,,,,,
Total,,,,57.6,38.99,37.91,44.26,42.35,40.45,42.12,47.64,40.02,50.92,47.12,47.07,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4366,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
