"ABERDARE THE MARDY",,,,,,,,,,,,
Grid ref,SO0055702247,Long,-3.440654,Lat,51.710114,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.63,4.34,3.32,9.47,9.85,2.06,10.61,3.60,3.98,3.21,,
February,7.70,2.57,2.96,4.71,7.82,1.84,4.97,3.29,4.26,1.04,,
March,0.91,5.67,3.60,11.87,2.59,8.36,3.69,2.42,6.23,5.05,,
April,2.45,6.55,2.80,2.28,3.14,5.55,1.25,4.15,3.71,5.00,,
May,3.75,1.66,2.90,5.44,3.69,0.37,3.87,3.76,3.65,2.30,,
June,3.36,2.76,4.15,1.72,2.12,5.64,2.50,5.34,1.21,3.51,,
July,2.59,1.68,2.21,2.68,4.46,1.11,0.87,3.02,4.31,3.58,,
August,5.68,4.36,2.85,8.63,5.62,6.55,4.19,4.02,8.58,2.16,,
September,2.94,4.06,3.09,6.16,2.90,3.71,1.56,1.14,3.81,5.82,,
October,9.54,3.06,4.98,16.20,2.29,2.99,9.13,7.75,4.19,14.37,,
November,6.65,3.07,5.98,2.89,4.22,5.71,5.03,3.72,3.33,2.62,,
December,10.72,10.11,5.56,5.70,5.36,1.83,3.11,8.75,6.41,10.50,,
Total,62.92,49.89,44.40,77.75,54.06,45.72,50.78,50.96,53.67,59.16,,
Calc annual,62.92,49.89,44.40,77.75,54.06,45.72,50.78,50.96,53.67,59.16,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
