WEST-MEON-WESTWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU633257,Long,-1.09767,Lat,51.02725,Elevation,470,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.86,5.12,2.77,1.72,4.47,6.4,5.29,4.2,5.44,2.09,3.44,4.53,6.48,3.17,8.14,0.99,5.59,3.33,3.74,2.79,,,,,,,
February,,,,,6.54,7.13,5.66,1.14,2.22,3,0.93,0.29,3.52,6.41,0.49,5.72,2.63,5.09,2.96,1.84,1.7,3.05,0.19,5.33,,,,,,,
March,,,,,5.46,1.25,4.18,2.81,1.33,6.18,2.6,1.37,2.83,2.79,1.66,0.82,0.51,3.95,3.03,0.17,1.55,0.85,2.36,4.83,,,,,,,
April,,,,,1.82,1.49,0.96,2.92,2.45,2.71,4.18,1.25,4.22,3.67,4.06,3.32,2.74,2.74,2.82,0.77,2.91,3.89,3.89,1.44,,,,,,,
May,,,,,1.46,4.14,2.14,2.16,2.37,0.55,1.78,3.16,1.56,2.03,3.94,4.1,2.56,1.12,1.71,2.62,2.69,3.48,5.1,2.7,,,,,,,
June,,,,,0.5,1.2,2.32,3.66,1.46,0.73,2.25,0.15,1.83,0.41,3.58,0.02,2.94,3.15,3.08,1.81,1.02,2.3,2.45,2.71,,,,,,,
July,,,,,3.54,5.41,1.21,3.99,4.73,1.62,7.02,0.42,5.09,1.51,4.65,3.78,2.73,3.45,1.93,1.82,2.57,4.17,4.81,2.69,,,,,,,
August,,,,,2.76,1.37,3.48,5.64,1.2,3.75,2.08,3.78,3.46,3.08,4.18,4.42,1.87,4.71,3.75,2.8,4.78,6.34,1.1,1.26,,,,,,,
September,,,,,1.66,3.68,2.95,3.14,6.86,1.62,2.64,1.18,2.32,1.68,6.89,3.46,0.87,6.29,1.04,0.03,3.3,2.33,4.09,3.41,,,,,,,
October,,,,,2.36,2.81,7.4,7.53,1.55,0.79,3.65,0.72,1.43,6.83,4.45,5.1,2.64,2.88,7.88,6.49,2.12,0.78,5.6,2.5,,,,,,,
November,,,,,3.95,3.89,6.07,1.22,3.26,1.95,2.4,2.57,2.23,1.97,3.4,3.12,6.39,4.79,3.79,9.47,6.11,4.74,2.26,0.9,,,,,,,
December,,,,,12.16,9.45,4.17,1.56,3.71,8.09,3.6,2.34,5.42,3.48,6.47,4.22,0.45,4.6,3.95,10.08,4.69,1.23,1.72,0.78,,,,,,,
Total,,,,,43.07,46.94,43.31,37.49,35.61,37.39,38.42,21.43,39.35,35.95,47.21,42.61,32.81,45.94,44.08,38.89,39.03,36.49,37.31,31.34,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Gardener at this property left and took gauge with him to Bradley nr Alresford but he has been unable to record there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
