"CORTON (VICARAGE)",,,,,,,,,,,,
Grid ref,TM542975,Long,1.745189,Lat,52.516046,,,,,,,
Station no,1379/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.94,2.45,0.98,1.58,1.67,3.69,1.39,2.06,2.70,4.03,,
February,3.26,1.04,1.45,1.73,1.90,2.11,2.11,3.18,0.17,1.14,,
March,2.71,2.44,0.31,2.02,1.52,0.79,1.74,1.68,0.77,1.21,,
April,3.40,0.87,1.92,0.42,0.44,0.77,0.45,1.21,1.82,0.76,,
May,1.81,1.26,1.13,1.71,1.78,0.64,1.49,2.74,0.39,0.23,,
June,1.72,1.53,1.76,2.36,2.13,1.58,1.99,3.16,0.48,1.22,,
July,3.13,1.59,2.94,2.11,0.20,1.83,3.25,2.68,1.13,2.51,,
August,2.43,3.86,2.22,4.68,1.35,3.63,2.19,2.53,1.97,2.60,,
September,1.82,3.12,1.53,1.53,1.59,1.43,3.51,1.77,0.03,4.17,,
October,0.58,1.90,1.87,2.00,4.27,3.52,1.32,1.87,2.59,6.73,,
November,3.41,4.30,1.11,4.39,0.59,1.06,1.71,1.07,2.36,3.31,,
December,1.52,3.14,0.93,1.78,1.36,0.96,1.99,2.94,3.28,4.08,,
Total,27.73,27.50,18.15,26.31,18.80,22.01,23.14,26.89,17.69,31.99,,
Calc annual,27.73,27.50,18.15,26.31,18.80,22.01,23.14,26.89,17.69,31.99,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
