HASLEMERE-HIGH-FIELD-WHITWELL-HATCH,,,,,,,,,,,,,,,,,,,,
Grid ref,SU908320,Long,-0.70514973,Lat,51.080147,Elevation,680,ft.,,,,,,,,,,,,
Station no,RR8378,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.4,4.26,1.51,3.76,5.04,0.69,4.72,2.85,1.9,4.1,
February,,,,,,,,,,0.55,4.4,2.24,3.66,1.87,6.7,6.79,5.55,1.15,1.96,
March,,,,,,,,,,5.4,1.17,2.21,4.63,3.81,5.64,1.1,5.64,2.23,1.3,
April,,,,,,,,,,1.85,1.78,1.84,0.08,3.5,1.63,1.35,1.15,2.84,3.52,
May,,,,,,,,,,2.1,2.07,1.55,1.63,4.91,1.35,3.88,2.64,1.46,1.39,
June,,,,,,,,,,3.1,3.02,2.52,3.86,0.76,0.64,1.67,2.29,1.84,1.19,
July,,,,,,,,,,3.4,2.8,1,2.74,2.55,3.08,4.83,1.08,4.12,3.98,
August,,,,,,,,,,2.6,3.21,1.41,6.95,1.87,1.85,2.99,3.92,6.7,0.71,
September,,,,,,,,,,3.09,0.48,1.51,5.15,3.01,1.61,2.6,3.27,2,6.18,
October,,,,,,,,,,9.35,3.4,5,4.27,5.07,2.06,4.73,7.27,5.28,1.8,
November,,,,,,,,,,0.65,4.57,5.04,2.11,2.85,5,3.52,6.31,1.44,3.41,
December,,,,,,,,,,5.68,5.92,10.11,4.7,1.98,10.85,8.25,4.26,1.56,3.13,
Total,,,,,,,,,,39.17,37.08,35.94,43.54,37.22,41.1,46.43,46.23,32.52,32.67,
,,,,,,,,,,,,,,,,,,,,
NGR is Highfield. Altitudes match.,,,,,,,,,,,,,,,,,,,,
