UFFINGTON-WOOLSTONE-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU294878,Long,-1.577033,Lat,51.588292,Elevation,350,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,3.12,1.12,3.6,0.99,2.6,2.39,2.24,0.69,4.21,3.56,2.42,4.41,,2.31,2.73,4,1.15,1.67,1.57,,6.07,,
February,,,,,,,,,1.65,0.53,0.7,1.79,0.16,5.04,0.17,2.58,2.18,5.59,0.67,1.13,,2.24,0.66,1.11,0.81,1.69,2.06,,0.58,,
March,,,,,,,,,2.16,0.08,1.28,0.34,2.34,2.39,2.13,0.36,1.73,3.19,0.13,1.69,2.67,2.29,2.24,0.59,0.35,0.72,1.03,,,,
April,,,,,,,,,,1.27,2.31,3.15,2.51,1.54,2.18,3.89,1.35,3.33,0.09,3.38,1.05,1.45,1.31,0.5,1.48,0.93,1.88,,,,
May,,,,,,,,,,1.08,1.32,2.94,8.43,1.03,0.7,1.47,0.84,3.09,2.13,1.63,1.15,,5.61,3.04,1.03,1.59,4.54,1.75,,,
June,,,,,,,,,,1.1,1.76,2.26,0.85,1.88,1.32,3.88,3.19,1.45,0.39,1.72,0.99,,0.08,1.36,1.58,2.98,1.96,1.05,,,
July,,,,,,,,,,2.05,2.8,3.46,4.05,1.91,1.17,0.42,2.53,1.62,1.45,4.86,2.18,,1.78,1.04,1.94,1.46,1.01,2,,,
August,,,,,,,,,,0.92,2.5,4.02,1.3,0.59,1.68,1.69,0.22,0.29,2.55,3.21,0,,3.58,3.1,2.14,1.67,4.46,,,,
September,,,,,,,,,,0.83,3.44,1.59,2.79,3.38,1.79,3.88,2.38,1.95,1.33,0.9,,,1.06,1.25,1.91,1.79,4.41,1.09,,,
October,,,,,,,,,,3.65,1.5,0.5,4.58,2.14,1.75,4.67,1.39,4.18,3.07,4.94,3.08,,3.9,3.12,3.68,2.58,0.76,0.53,,,
November,,,,,,,,,,6.14,3.51,3.22,1.34,0.96,1.51,5.33,2.91,1.27,3.21,4.36,6.94,,2.63,1.5,4.73,0.05,6.01,1.26,,,
December,,,,,,,,,,6.84,2.88,0.84,1.03,0.51,6.32,3.12,2.66,1.65,3.22,1.35,,1.34,3.41,1.18,1.24,4.04,1.17,1.73,,,
Total,,,,,,,,,,25.61,27.6,25.1,31.98,23.76,22.96,31.98,25.59,31.17,20.66,33.58,,,28.99,21.79,22.04,21.17,30.86,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s record and is Wollstone Lodge. Stated altitude appears to be 30 ft. too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
