STEVENAGE-WESTON-MANOR (THE PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL262293,Long,-0.165223,Lat,51.947888,Elevation,470,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.99,1.3,1.78,2.08,2.26,0.72,1.4,0.78,2.49,3.03,0.68,0.57,2.44,2.33,1.34,3.36,1,1.39,0.94,1.56,1.32,2.95,2.25,0.99,3.42,1.35,1.79,2.51,3.56,2.45,2.21,2.82,1.19,2.87,1.38,2.57,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.14,1.6,3.05,1.77,0.41,0.48,2.81,1.09,1.65,3.19,1.27,1.09,0.92,2.76,1.07,1.91,1.47,1.24,0.49,2.47,1.38,1.7,0.83,2.27,3.14,3.52,0.7,0.95,3.28,0.45,0.2,2.11,3.09,0.73,3.32,2.85,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.09,1.64,0.49,1.25,2.02,3.76,3.98,1.62,0.84,0.82,2.18,1.07,3.06,1.56,2.75,1.74,0.74,2.71,3.28,1,2.12,3.94,2.33,3.93,1.56,4.87,1.6,0.85,3.01,1.54,1.08,1.7,1.94,0.79,1.27,0.15,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.86,0.87,0.15,1.27,1.13,0.82,1.96,1.49,2.57,1.25,2.58,0.71,1.52,0.98,1.87,1.02,3.28,2.99,1.57,2.39,0.91,0.06,2.89,0.94,1.01,1.39,1.67,3.92,3.31,3.48,1.32,2.69,1.96,3.21,1.46,3.37,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,3.17,1.94,1.24,1.78,1.16,0.36,1.41,3.3,2.12,1.19,1.37,2.35,2.6,1.63,1.28,1.28,2.99,1.35,1.42,2.92,1.6,1.8,1.9,1.35,2.09,2.48,2.08,1.97,0.2,1.05,1.1,1.66,1.14,4.4,1.95,2.07,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.83,2.8,0.59,2.34,0.72,2.51,2.41,2.16,1.37,2.81,1.01,2.61,5.68,0.92,3.1,3.89,2.05,0.95,4.34,1.67,3.17,2.86,1.11,1.77,1.03,3.28,1.42,0.68,1.41,1.53,0.5,1.02,0.78,2.11,0.21,3.12,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,1.27,2.81,3.82,2.51,4.9,1.21,1.72,1.21,2.14,0.94,2.55,2.46,4.99,3.22,1.37,0.78,1.99,2.97,3.2,2.03,0.38,2.68,2.89,1.92,3.94,1.56,5.03,2.66,3.45,4.32,0.35,3.96,3.13,4.14,2.6,3.41,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,3.72,3.07,3.04,3.26,5.53,2.71,4.57,1.02,0.92,3.38,1.59,3.84,3.53,3.09,5.41,1.02,1.97,3.12,2.32,2.26,0.88,7.27,1.16,1.18,2.74,2.58,6.66,1.49,2.82,1.12,0.95,2.02,2.36,2.57,2.54,0.85,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.51,2.85,1.96,1.65,0.78,6.4,2.77,0.38,2.41,0.62,1.14,1.3,2.37,1.08,2.1,1.55,0.55,1.94,1.95,1.28,1.22,2.8,1.68,0.95,1.72,1.05,1.63,5.59,1.16,1.92,1.47,2.77,1.72,3.11,3.06,2.2,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,6,3.41,4.16,2.45,2.37,3.62,0.78,2.95,2.04,2.11,1.49,1.54,5.56,1.39,1.6,3.99,3.22,1.44,4.62,2.45,2.75,2.54,3.83,2.39,1.58,3.15,4.3,1.41,0.8,1.84,1.04,0.63,4.27,3.88,3.16,2.15,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
