HALIFAX HALL INGS S OWRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE112234,Long,-1.831809,Lat,53.706909,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,6.2,1.25,3.25,0.86,3.72,4.29,0.99,2.96,1.69,5.16,4.11,2.29,2.01,3.21,2.82,1.34,4.04,1.32,1.62,1.33,3.11,1.02,5.11,3.27,2.15,3.22,1.98,2.69,2.2,3.9,3.01,4.71,,,,,,,,,
February,0.91,0.19,2.87,4.29,5.81,0.51,1.56,3.49,2.45,2.05,5.4,2.19,1.5,3.34,4.4,1.19,2.36,2.17,1.97,0.83,2.08,1.96,1.87,0.86,1.3,2.8,4.61,0.72,2.76,1.88,2.85,0.19,,,,,,,,,
March,2.18,1.95,1.51,1.15,2.76,2.47,3.74,3.36,1.24,1.67,1.08,2.6,1.43,4.64,2.15,2.18,2.34,2.27,2.74,3.24,0.4,1.06,2.92,2.92,3.37,0.87,3.89,3.21,1.26,4.53,1.9,1.87,,,,,,,,,
April,1.4,1.44,2.08,0.98,2.92,2.17,1.42,2.24,2.75,2.65,1.34,1.82,1.38,1.54,1.79,2.24,1.45,1.25,1.72,2.35,2.23,1.16,0.62,2.6,1.19,0.88,1.17,2.23,0.88,1.1,2.79,1.05,,,,,,,,,
May,2.56,2.47,2.87,1.9,1.89,0.87,0.51,0.93,2.59,2.99,1.05,1.3,2.9,3.31,2.36,0.59,2.62,3,1.72,2.09,1.89,0.71,2.81,2.2,1.32,1.59,2.42,1.94,2.79,1.21,3.12,1.07,,,,,,,,,
June,1.72,1.88,4.53,2.02,3.18,3.56,3.74,4.09,2.7,1.91,2.63,1.24,1.42,1.23,1.23,1.79,1.11,3.4,1.4,2.82,2.9,2.21,5.12,1.44,3,0.6,1.75,1.75,1.23,0.88,2.32,0.1,,,,,,,,,
July,3.62,2.04,1.99,3.02,3.13,7.88,1.4,0.65,1.18,1.77,3.07,2.34,2.24,2.97,3.35,2.32,1.51,2,2.59,3.29,2.46,0.28,3.56,1.02,3.48,4.57,2.08,1.48,3.6,2.45,6.07,1.14,,,,,,,,,
August,4.15,3.55,2.85,2.03,3.29,2.79,1.59,2.99,3.61,2.35,6.3,2.03,3.72,2.89,4.47,4.25,2.24,1.89,2.17,2.2,3.39,1.39,5.03,1,1.73,4.46,1.44,5.45,1.71,2.33,0.82,4.18,,,,,,,,,
September,0.8,2.1,2.42,1.94,0.47,1.41,5.51,3,0.43,6.26,0.57,0.96,1.72,4.23,0.63,1.7,0.57,0.61,2.59,2.97,0.13,2.19,1.06,1.58,1.65,0.48,1.34,0.73,7.76,1.08,1.85,1.17,,,,,,,,,
October,1.24,4.87,7.63,2.72,4.87,3.84,4.47,1.83,4.28,3.41,4.05,1.92,3.06,9.32,0.71,2.27,5.41,4.51,1.57,2.5,2.17,2.27,2.95,1.79,2.04,1.31,4.74,4.02,1.47,1.63,2.58,2.29,,,,,,,,,
November,2.26,3.1,1.99,1.95,1.61,3.64,1.41,3.63,2.46,1.16,3.26,5.69,1.96,1.91,1.64,3.65,3.68,2.28,2.29,0.62,3.7,2.51,2.08,2.8,4.36,1.58,2.48,1.62,1.2,2.1,1.4,1.92,,,,,,,,,
December,1.48,7.5,1.35,3.61,2.08,4.24,3.51,3.8,3.36,2.81,4.03,7.14,3.1,1.4,1.44,0.63,3.06,2.18,1.6,4.86,2.95,3.33,2.99,2.07,4.6,6.3,2.53,1.68,4.28,4.14,3.09,3.55,,,,,,,,,
Total,28.52,32.34,35.34,26.47,35.73,37.67,29.85,32.97,28.74,34.19,36.89,31.52,26.44,39.99,26.99,24.15,30.39,26.88,23.98,29.1,27.41,20.09,36.12,23.55,30.19,28.66,30.43,27.52,31.14,27.23,31.8,23.24,,,,,,,,,
