RIDGEHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST541625,Long,-2.66059,Lat,51.35988,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1977/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.84,3.68,4.81,5.13,4.85,2.36,3.55,3.27,6.13,2.95,2.47,3.24,2.53,7.06,1.08,0.76,4.09,3.24,0.78,2.32,3.18,-999,3.29,2.97,4.46,4.25
February,,,,,2.8,2.67,6.19,1.4,1.99,2.72,3.09,0.31,2.38,0.83,3.62,3.41,1.24,2.12,1.72,6.8,4.69,0.93,1.62,4.1,2.16,-999,3.77,4.84,0.32,2.66
March,,,,,0.78,2.79,3.34,0.38,1.77,2.96,3.57,2.54,1.16,0.35,1.28,1.03,5.91,1.89,1.71,1.67,3.83,3.56,1.3,4.05,1.43,1.14,2.9,1.06,3.74,2.86
April,,,,,4.3,2.34,2.86,0.29,3.5,2.36,1.24,1.29,1.37,2.85,1,2.4,2.66,2.28,1.92,3.05,4.44,1.8,4.17,0.68,1.32,1.88,0.09,1.32,3.35,1.96
May,,,,,1.25,2.09,2.98,2.1,0.99,2.91,1.95,5.57,3.05,1.39,3.54,4.32,3.3,4.96,4.24,2.3,2.63,4.07,2,2.55,3.96,0.68,1.65,2.9,1.88,1
June,,,,,5.17,3.32,1.48,1.64,2.41,0.76,2.83,0.33,1.97,2.95,4.63,4.22,1.95,2.71,0.48,2.13,0.94,4.09,2.08,5.23,3.09,2.97,2.16,3.08,1.4,4.25
July,,,,,1.44,6.25,3.56,3.59,4.99,6.4,1.7,2.63,2.45,3.03,1.74,1.81,2.98,1.78,1.39,6.15,1.36,1.12,4.57,4.25,0.27,2.73,4.03,2.81,3,6.72
August,,,,,1.73,0.65,1,3.77,3.41,0.31,6.76,4.61,4.9,3.53,2.6,5.83,1.16,5.4,2.48,7.55,7.15,5.4,4.21,2.56,0.46,5.25,3.32,3.47,1.37,4.38
September,,,,,6.21,3.78,1.63,3.25,1.37,2.77,0.71,2.29,2.87,3.5,2.04,5.34,2.3,3.09,2.24,6.39,3.15,3.97,3.97,5.53,2.55,4.27,5.02,5.05,0.37,4.1
October,,,,,7.56,1.82,3.55,7.33,3.33,4.31,2.27,5.71,3.09,5.38,3.99,1.03,0.58,5.09,7.03,1.84,1.35,5.08,2.41,4.25,1.54,1.99,4.49,3.57,3.19,7.61
November,,,,,7.01,4.6,1.83,5.92,8.14,9.61,2.29,1.64,2.64,6.76,0.52,5.96,2.91,2.13,4.53,7.49,8.52,4.18,2.53,6.91,4.24,0.75,3.71,2.5,5.4,5.36
December,,,,,4.11,3.3,1.83,3.68,2.6,2.09,2.32,4.32,2.65,3.75,6.19,4.25,3.11,5.92,2.27,2.23,2.98,2.73,1.25,2.67,4.14,3.74,2.75,4.61,7.42,5.14
Total,,,,,43.2,37.29,35.06,38.48,39.35,39.56,32.28,34.51,34.66,37.27,33.62,42.84,30.63,44.43,31.09,48.36,45.13,40.17,30.89,45.1,28.34,30.03,37.18,38.18,35.9,50.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown location NGR taken from MIDAS and matching elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Dec 6 Engineer states gauge tested Sept 1947 Was found in need of repair Has now been repaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov 1 Inspection Gauge sound Measure certified Site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jan Feb Apportioned Combined value 4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 9586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
