BECKENHAM-PARKSIDE (Monthly Gauge) ,,,,,,,,,,
Grid ref ,TQ375705,Long ,-0.0236,Lat ,51.4176,Elevation ,142,ft ,,
Station no ,RR1955 ,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January ,1.36,2.38,4.45,3.09,1.26,,,,,
February ,0.95,1.06,0.87,1.94,1.73,,,,,
March ,2.1,1.02,2.13,1.36,0.38,,,,,
April ,0.41,2.93,1.36,0.83,1.72,,,,,
May ,0.82,0.67,3.45,1.5,0.55,,,,,
June ,0.3,3.04,1.46,2.9,2.52,,,,,
July ,1.76,2.86,2.2,1.78,1.1,,,,,
August ,1.61,0.8,2.33,2.83,2.46,,,,,
September ,1.51,5.38,1.43,2.16,2.35,,,,,
October ,3.4,0.75,4.9,3.11,,,,,,
November ,1.08,0.48,3.15,2.76,,,,,,
December ,2.66,1.38,4.35,0.35,,,,,,
Total ,17.96,22.75,32.08,24.61,,,,,,
