BICKINGTON-HIGHER-GOODSTONE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX787718,Long,-3.71238,Lat,50.53391,Elevation,400,ft,,,,,,,,,,,,,
Station no,1719,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,2.19,6.25,4.44,6.97,4,5.27,1.27,7.69,,,,
February,,,,,,,,,,3.78,1.92,3.74,0.01,4.23,0.21,5.43,4.81,,,,
March,,,,,,,,,,0.35,3.25,3.08,2.89,5.2,3.99,1.62,6.11,,,,
April,,,,,,,,,,0.68,3.91,4.26,3.01,2.44,3.42,5.65,3.12,,,,
May,,,,,,,,,,3.58,1.58,3.3,4.75,2.33,1.39,3.23,1.14,,,,
June,,,,,,,,,,2.11,1.15,4.19,3.92,2.56,2.26,5.51,1.8,,,,
July,,,,,,,,,,1.62,3,4.9,3.04,2.68,2.85,0.3,7.56,,,,
August,,,,,,,,,,2.75,4.38,4.98,2.26,1.45,4.83,2.63,0.14,,,,
September,,,,,,,,,2.13,0.43,4.35,1.77,6.02,3.15,3.72,4.07,5.42,,,,
October,,,,,,,,,8.9,6.81,4.76,0.96,8.78,3.86,4.49,5.46,1.39,,,,
November,,,,,,,,,7.52,16.1,8.18,9.23,3.78,1.53,2.68,8.22,4.63,,,,
December,,,,,,,,,5.8,10.37,5.51,2.47,3.74,2.82,15.89,7,8.17,,,,
Total,,,,,,,,,,50.77,48.24,47.32,49.17,36.25,51,50.39,51.98,,,,
,,,,,,,,,,,,,,,,,,,,,
1932 Apr June July Dec and total amended No note as to when or why,,,,,,,,,,,,,,,,,,,,,
1938 Observer moved to Cornwall,,,,,,,,,,,,,,,,,,,,,
1937 Record lost in move,,,,,,,,,,,,,,,,,,,,,
