COLCHESTER-BIRCH-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL949206,Long,0.82834906,Lat,51.84996,Elevation,80,ft,,,,,,,,,,,,
Station no,RR6674,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.73,1.98,2.45,2.01,1.02,1.6,3.14,2.01,0.9,2.35,0.97,,,
February,,,,,,,3.4,1.39,1.27,2.75,0.81,1.72,1,2.04,0.8,0.94,2.19,,,
March,,,,,,,1.57,2.68,1.01,1.9,1.88,1.18,2.98,1.72,0.84,0.29,3.18,,,
April,,,,,,,1.84,1.78,1.71,0.68,0.46,2.86,1.24,0.79,1.78,1.42,1.85,,,
May,,,,,,,1.97,4.05,1.57,3.04,1.01,0.98,3.29,1.92,0.75,2.33,1.13,,,
June,,,,,,,2.88,1.19,0.56,0.97,0.38,2.61,3.05,2.4,1.5,2.52,1.85,,,
July,,,,,,,2.5,2.62,0.64,0.21,1.91,3.05,3.94,1.83,0.93,4.84,0.73,,,
August,,,,,,,3.14,1.17,2.07,1.45,1.54,0.67,2.08,1.53,1.09,0.6,1.22,,,
September,,,,,,,3.98,1.45,1.01,3.97,2.23,4.05,1.81,2.41,2.55,3.03,3.49,,,
October,,,,,,,0.66,2.14,1.99,2.95,3.51,0.91,3.35,2.42,1.83,3.51,0.87,,,
November,,,,,,,2.5,0.66,0.97,2.43,1.06,0.83,3.85,2.53,2.17,4.43,3.19,,,
December,,,,,,,2.16,2.32,3.76,3.42,3.74,1.42,3.42,0.48,1.58,1.64,5.19,,,
Total,,,,,,,29.33,23.43,19.01,25.78,19.55,21.88,33.15,22.08,16.72,27.9,25.86,,,
