DALKEITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT333678,Long,-3.0682383,Lat,55.898679,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,3.25,4.4,3.38,0.7,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,1.8,0.24,,,,,,,,,,1.5,2.86,1.01,,,,,
February,,,,1,2.15,2.2,3.65,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,2.63,3.46,,,,,,,,,,3.02,3.48,1.6,,,,,
March,,,,1.05,0.38,0.12,1.33,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,0.92,3.26,,,,,,,,,,3.12,0.59,1.17,,,,,
April,,,,2.4,1.2,0.4,0.93,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,2.83,0.85,,,,,,,,,,1.72,1.05,0.75,,,,,
May,,,,1.53,1.6,1.25,0.4,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,4.04,1.76,,,,,,,,,,1.85,1.81,1,,,,,
June,,,,1.6,3.1,0.3,1.78,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,3.16,2.13,,,,,,,,,,1.62,1.85,2.04,,,,,
July,,,,1.2,1.6,6.18,2.9,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,2.46,1.01,,,,,,,,,,4.45,3.85,1.36,,,,,
August,,,,1.8,3.67,3.05,1.9,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.29,2.42,,,,,,,,,,2.44,3.53,1.26,,,,,
September,,,,4.42,2.35,2.83,1.67,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,2,1.1,,,,,,,,,,0.85,1.8,1.44,,,,,
October,,,,1.48,1.18,6.12,1.3,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,3.2,3.33,,,,,,,,,,2.47,3.1,,,,,,
November,,,,3.17,1.23,3.45,1.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,3.9,3.75,,,,,,,,,,2.09,1.75,,,,,,
December,,,,2.58,2.13,0.28,1.9,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,2.63,0.68,,,,,,,,,,1.48,4.08,,,,,,
Total,,,,25.48,24.99,29.56,19.66,22.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.55,25.63,31.86,23.99,,,,,,,,,,26.61,29.75,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-094.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not used: ERROR_TYRain_1677-1886_B_pt1-page-095.csv duplicate with 0.01 differences almost certainly due to rounding differences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt2-page-132.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not used: TYRain_1677-1886_B_pt1-page-097.csv - 1810 only and duplicate values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR for Dalkeith House, former seat of Lord of Buccleugh who is named on the 1770s sheet as being the authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
