ROSTHWAITE CASTLE LODGE,,,,,,,,,,
Grid ref,NY257147,Long,-3.1494089,Lat,54.522119,Elevation,305,ft,,
Station no,RR7618,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,4.5,1,7,19,19.25,8.5,12.25,9,,
February,12.5,7.25,10,13.75,14,21.25,2,7.5,,
March,5.5,11,9,6,14,9,10.75,3,,
April,6,2.5,7.35,4.5,4,8.5,6.5,6.5,,
May,4.75,12.5,6,5,10.5,5.25,7.5,3.5,,
June,6.75,11.5,10.5,6.75,3,4,3,-999,,
July,7.25,8,15,5,7.5,7,8,-999,,
August,3.5,9.5,8.5,8.5,3,7.5,5.25,5,,
September,7.5,4.5,3.75,10.75,11,17,18,10,,
October,3,4.5,7.25,13,8,8,8.5,6,,
November,19.5,15,15,16.5,5,7.5,9.2,6.5,,
December,8.75,11.5,10,10,14.75,5.25,13.5,8.3,,
Total,89.5,98.75,109.35,118.75,114,108.75,104.45,74.3,,
,,,,,,,,,,
1887 June/July bracketed,,,,,,,,,,
