BARLEY (OGDEN RESERVOIR) - new gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,SD817398,Long,-2.279682,Lat,53.854103,Elevation,908,ft,,,,,,,,,,,,
Station no,2986/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,9.97,5.04,5.71,4.91,9.25,4.41,4.72,6.13,7.58,2.72,5.53,2.84,5.33,6.08,3.82,3.91,7.28
February,,,,3.76,7.18,7.62,3.25,4.39,4.61,6.94,4.48,1.76,3.57,3.36,3.06,1.64,3.63,9.35,1.23,3.34
March,,,,1.19,2.53,1.49,8.01,3.24,2.58,2.56,5.57,3.06,2.4,3.29,1.94,2.46,5.55,2.19,1.94,1.62
April,,,,3.71,3.4,1.73,3.97,3.04,6.09,4.26,3.05,3.21,3.77,1.62,3.5,2.99,0.99,1.98,3.23,3.56
May,,,,4.58,5.49,1.56,2.7,1.56,2.92,2.23,1.74,2.1,2.47,3.22,4.6,3.07,2.12,6.05,2.05,2.02
June,,,,4.65,6.27,3.46,3.64,5.69,1.22,4.21,1.59,4.63,2.32,3.98,4.35,2.95,2.59,5.36,3.7,1.67
July,,,,4.48,3.8,5.66,5.22,2.61,3.4,4.83,4.82,3.67,7.45,9.44,1.3,5.88,7.16,4.02,4.83,11.73
August,,,,4.04,3.18,9.97,0.25,5.41,4.01,10.15,6.11,9.8,7.42,8.82,1.28,14.47,6.87,4.75,0.66,7.1
September,,,,8.49,4.05,8.63,4.89,5.28,2.1,9.4,5.35,6.13,5.84,8.34,4.04,5.7,7.98,6.6,0.51,3.19
October,,,5.03,6.3,7.41,1.49,1.14,4.18,5.79,5.1,1.54,4.12,2.21,11.18,3.78,3.47,9.71,4.15,7.1,3.69
November,,,4.67,8.87,0.76,8.11,10.11,3.99,6.11,7.92,10.15,2.77,7.46,7.44,2.06,2.29,2.1,2.44,5.91,8.38
December,,,3.24,5.77,2.87,5.07,5.3,3.41,10.47,4.13,12.86,5.36,3.36,9.51,8.8,5.63,7.53,4.54,8.52,6.34
Total,,,,65.81,51.98,60.5,53.39,52.05,53.71,66.45,63.39,54.19,50.99,75.73,41.55,55.88,62.31,55.25,43.59,59.92
,,,,,,,,,,,,,,,,,,,,
1955 corrected total not transcribed,,,,,,,,,,,,,,,,,,,,
