BROMLEY-SUNDRIDGE-AVENUE (THORNBURY 153 HIGH STREET),,,,,,,,,,,
Grid ref,TQ4028469254,Long,0.015464694,Lat,51.404971,Elevation,200,ft,,,
Station no,397,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.55,2.65,1.3,2.24,1.8,2.26,2.12,3.04,0.93,
February,,0.2,2.1,3.4,0.75,3.72,2.5,3.94,1.43,0.46,
March,,1.2,1.64,2.3,0.81,0.65,0.26,2.1,1.86,0.02,
April,,1.3,3.1,1.75,3.59,2.2,4.6,1.27,1.7,1.25,
May,,1.2,1.75,2.55,3.17,1.56,1.36,1.27,2.44,1.32,
June,,0.35,1.5,0.5,2.5,0.16,3,3.26,2.33,,
July,,0.1,2.78,2.52,2.71,3.08,1.9,3.26,1.92,,
August,,1.6,2.04,2.8,3.2,1.88,1.6,2.73,2.85,,
September,,-999,1.95,1.3,3.2,2.65,1.25,4.29,0.75,,
October,,-999,1.2,5.32,3.12,3.3,2.82,1.24,4.01,,
November,,1.8,1.27,1.8,3.48,2.1,5.42,2.52,2.02,,
December,,1.75,4.1,2.3,3.34,2.74,0.5,4.17,3,,
Total,,11.85,26.08,27.84,32.11,25.84,27.47,32.17,27.35,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1921 Sep-Oct -999 (0.8),,,,,,,,,,,
1929 Jun gauge moved,,,,,,,,,,,
