BISHOPS WALTHAM HILL PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU587164,Long,-1.16585,Lat,50.94406,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.98,7.33,1.85,4.33,0.88,1.22,1.68,3.16,3.87,2.57,4.13,3.5,1.43,0.9,3.82,2.85,1.18,2,4.68,3.17,1.12,2.99,0.75,3.56,4.04,1.51,1.32,2.35,4.9,1.22,7.93,1,1.67,1.3,3.49,1.47,4.27,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.07,1.85,3.06,5.12,3.99,3.22,1.88,4.66,2.5,3.82,0.84,1,0.89,2.23,0.74,0.04,1.03,3.89,1.87,0.16,0.44,3.93,1.91,2.99,5.01,1.8,2.06,1.78,4.37,0.63,3.42,1.58,1.39,0.47,4.27,1.72,2.78,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,4.06,3.12,1.56,0.73,1.01,2.84,0.69,0.91,2.92,2.73,2.48,1.5,3.77,2.66,1.25,2.78,1.16,0.44,1.79,2.5,3.51,5.21,0.59,0.71,0.96,2.46,2.51,3.53,1.41,5.07,1.43,0.94,3.27,4.28,1.19,2.6,4.86,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.17,2.64,3.54,3.52,2.97,0.77,3.63,1.38,1.38,1.62,2.06,1.54,1.86,2.21,2.83,1.03,0.85,0.08,3.2,2.99,0.66,2.49,1.22,2.83,1.95,2.61,1.52,2.87,1.5,1.76,0.81,4.77,3.39,1.61,2.6,1.78,0.04,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.64,2.37,4.3,3.31,0.27,1.04,1.65,2.26,1.06,3.85,4.04,1.36,2.37,2.62,2.58,2.06,0.87,0.82,1.54,0.28,0.6,1.65,3.2,1.21,1.31,0.72,3.4,3.83,4.62,0.58,2.69,2.73,2.31,1.99,1.83,2.83,1.14,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.72,0.68,2.98,5.74,2.12,2.39,3.06,2.1,1.61,1.46,0.57,1.28,4.01,0.65,4.08,1.69,1.81,1.26,2.16,1.42,1.64,2.07,2.32,2.08,3.83,2.56,3.84,2.81,1.51,4.23,1.89,2.27,0.64,4.68,3.03,2.17,4.83,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.77,4.02,1.79,4.47,4.66,2.19,3.83,3.76,2.9,0.46,3.26,0.98,5.05,3.19,3.62,2.29,2.69,3.63,6.07,4.18,0.6,1.36,0.38,1.14,1.28,2.39,1.65,3.37,1.5,0.23,0.61,1.41,2.23,3.14,2.52,0.32,2.6,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.51,3.2,4.32,7,1.78,5.05,2.12,1.42,1.49,0.61,1.15,1.82,2.66,2.66,4.49,6.66,3.57,1.29,1.52,2.71,2.57,4.73,1.71,1.51,3.18,2.41,4.51,3.9,3.12,3.32,1.67,1.81,6.28,2.66,2.55,0.66,6.89,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,4.09,1.96,1.92,4.36,5.34,2.06,2.27,4.32,2.62,5.43,1.92,3.42,1.12,1.03,0.8,1.75,3.82,1.81,2.36,0.6,8.66,2.87,1.41,3.09,1.11,2.2,1.04,2.64,2.99,2.37,1.72,0.44,2.1,3.42,0.12,1.03,2.96,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.43,3.05,3.18,0.99,4.56,1.71,6.91,3.16,0.85,4.38,5.35,1.49,1.89,6.29,1.27,8.47,5.39,3.48,4.27,3.05,2.92,0.71,5.23,2.31,2.55,3.01,2.64,9.44,2.35,2.25,6.51,8.38,2.47,8.25,4.81,4.49,4.04,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
