ROCHDALE COWM RES WHITWORTH - a new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD882185,Long,-2.180047,Lat,53.662849,Elevation,760,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.65,4.43,6.55,5.91,9.25,4.75,5.34,4.55,5.98,6.24,5.82,15.57,2.63,8.65,8.22,7.52,3.58,5.48,2.88,6.11,5.22,7.48,7.03,2.71,1.63,8.33,7.41,7.65,4.91,6.31,4.45,12.76,3.36,4.16,7.16,6.3,2.73,5.33,3.53,8.33,6.26,5.79,4.74,7.29
February,,,,,,,,1.54,8.7,1.42,5.4,0.68,6.68,7.24,1.68,9.15,5,2.24,7.61,1.22,0.78,7.92,0.25,4.82,0.68,8.47,3.38,7.35,3,6.75,2.9,6.01,2.2,5.06,3.05,7.16,8.11,2.9,4.39,4.13,6.7,4.04,1.92,4.12,5.6,2.44,2.01,4.98,8.2,0.88,4.27
March,,,,,,,,3,2.84,6.78,4.83,5.05,4.4,2.77,2.03,2.37,3.06,6.75,3.88,1.95,3.61,0.55,3.53,3.87,4.09,2.42,3.66,2.66,1.83,4.47,3.85,5.37,3.77,1.82,0.73,1.88,1.6,9.05,2.1,2.27,3.79,5.87,3.38,3.02,3.57,3.27,4.11,6.66,3.2,2.83,1.59
April,,,,,,,,2.13,1.45,2.85,7.33,2.51,4.45,4.9,2.31,4.42,2.38,5.01,1.55,1.99,3.42,4.86,5.43,2.66,3.39,4.69,1.71,4.44,0.99,2.98,3.65,2.92,3,3.48,3.77,3.28,1.66,5.39,2.82,5.21,5.44,4.17,4.14,4.03,0.85,2.9,4,0.65,1.89,4.26,3.8
May,,,,,,,3.23,2.52,2.75,2.19,6.62,3.5,2.05,5.66,6.76,6.22,5.23,2.18,1.81,4.19,2.63,3.36,5.82,2.47,4.89,1.65,1.77,2.89,5.11,1.52,1.02,3.21,4.68,3.72,4.13,5.54,1.38,2.98,1.93,4.44,2.62,2.45,2.3,2.78,3.41,5.35,2.58,1.84,5.85,1.88,2.18
June,,,,,,,3.35,2.25,1.97,2.14,2.55,0.47,3.46,1.52,3.02,0.04,3.46,5.86,10.03,2.2,2.55,7.83,1,2.84,4.33,4.58,4.61,3.07,6.26,4.48,1,0.77,0.99,4.83,4.13,6.54,4.58,3.76,6.81,0.73,3.4,1.92,5.5,3.29,4.41,4.19,5.28,2.42,5.85,3.63,2.11
July,,,,,,,4.03,3,4.38,2.7,10.81,2.42,6.42,5.28,5.76,2.39,3.2,4.97,3.51,3.41,7.36,6.1,5.35,4.63,3.26,2.97,5.92,3.27,5.8,8.3,6.14,3.68,6.64,4.09,4.76,3.35,5.19,4.74,3.26,2.66,6.49,3.92,2.65,9.63,7.32,4.55,8.92,6.68,5.26,5.03,10.12
August,,,,,,,3.93,7.97,4.05,4.58,4.05,7.4,5.88,7.35,8.99,5.16,5.74,7.87,8.92,7.11,9.49,6.46,1.51,2.57,4.94,2.37,4.76,4.63,5.8,3.52,2.8,9.42,6.94,8.75,4.44,5.78,8.99,0.36,6.99,4.51,9.12,5.77,6.1,8.81,11.04,1.35,15.49,8.34,5.48,0.5,6.02
September,,,,,,,3.13,3.29,15.7,2.52,3.04,1.92,5.15,5.85,5.55,4.74,5.24,7.04,0.82,3.02,5.53,3.83,7.18,2.02,5.28,9.9,6.27,2.37,1.98,2.05,6.4,1.07,3.27,5.76,7.12,3.84,9.27,4.02,4.22,1.68,10.7,4.32,5.03,5.22,6.76,3.87,5.7,7.55,6.83,0.49,4.06
October,,,,,,,10.02,11.08,4.99,3.14,1.72,4.37,0.98,8.16,6.85,6.91,5.48,5.97,6.97,7.67,8.41,3.66,9.94,6.06,7.97,12.91,7.32,2.42,14.47,2.46,5.76,6.39,8.26,3.94,6.3,7.99,1.1,1.22,3.97,6.62,3.75,1.4,8.72,2.44,11.34,3.26,5.2,9.42,7.14,6.91,6.11
