"SPEAN BRIDGE SPEAN LODGE",,,,,,,,,,,,
Grid ref,NN221816,Long,-4.922054,Lat,56.891531,,,,,,,
Station no,5738/2,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,10.62,7.70,6.97,7.50,,
February,,,,,,,5.13,6.85,6.44,3.41,,
March,,,,,,,7.29,6.25,6.14,0.08,,
April,,,,,,,4.35,3.07,2.14,3.82,,
May,,,,,,,3.75,3.92,3.51,3.80,,
June,,,,,,,1.48,4.42,3.31,1.10,,
July,,,,,,,3.92,2.03,3.48,4.61,,
August,,,,,,,5.65,7.79,5.41,4.47,,
September,,,,,,,3.39,2.49,7.84,2.71,,
October,,,,,,,8.93,3.05,1.24,10.26,,
November,,,,,,,5.54,5.52,5.83,4.90,,
December,,,,,,,6.77,5.76,6.18,6.11,,
Total,,,,,,,66.82,58.85,58.49,52.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,66.82,58.85,58.49,52.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
