SPEAN BRIDGE (SPEAN LODGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN221816,Long,-4.922054,Lat,56.891531,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5738/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,12.9,12.11,5.62,0.72,0.68,4.56,6.45,11.61,3.55,7.68,6.17,6.89,11.12,7.49,6.58,5.93,6.26,5.41,2.89,4.96,10.74,4.62,2.45,3.41
February,,,,,,,4.54,8.25,10.59,2.56,4.96,2.85,9.46,4.38,10.31,6.29,0,6.63,11.26,7.74,4.29,4.07,5.01,3.66,3.21,3.71,4.75,2.76,4.12,4.62
March,,,,,,,1.4,13.56,5.69,4.87,1.83,1.65,5.43,2.59,7.83,3.16,1.52,7.64,3.38,4.62,3.28,3.22,2.82,3.39,0.98,3.52,6.26,2.12,4.71,1.26
April,,,,,,,1.63,1.04,3.59,3.73,2.91,1.92,8.41,3.77,2.34,3.34,10.99,5.69,8.97,6.24,4.75,3.5,5.09,2.64,3.12,4.2,1.77,4.15,4.64,5.88
May,,,,,,,2.41,3.59,1.53,1.64,1.35,2.14,4.02,7.43,5.84,1.12,3.03,1.74,3.28,1.72,0.61,2.46,4.86,4.93,2.81,5.24,2.13,5.11,1.42,2.62
June,,,,,,,3.49,7.28,2.45,2.18,0.93,3.85,6.04,6.33,7.07,5.03,4.25,5.1,1.65,4.1,2.72,4.03,1.83,3.43,2.59,2.46,3.05,2.07,6.09,3.49
July,,,,,,,4.45,5.05,8.87,6.61,5.13,4.57,4.18,1.83,2.68,6.86,3.89,5.8,2.09,6.5,4.88,3.72,7.66,3.12,0.88,5.37,5.76,3.26,5.93,2.77
August,,,,,,,4.69,4.04,2.64,3.96,7.27,6.32,5.9,3.35,2.92,4.54,0,7.73,7.96,6.49,6.11,4.13,5.11,5.16,1.4,4.24,6.26,4.41,5.14,4.71
September,,,,,,,6.31,5.04,2.04,5.15,3,9.08,5.42,4.38,6.84,8.16,8.18,10.75,3,11.48,5.61,5.57,8.96,7.56,7.77,6.57,3.72,3.8,1.79,3.53
October,,,,,,,2.74,13.97,2.34,6.92,7.14,13.07,11.67,6.32,4.13,0.56,3.84,9.94,8.07,7.84,2.57,7.7,3.6,11.92,8.03,7.75,9.45,8.91,8.14,1.35
November,,,,,,,1.48,13.89,8.84,7.62,7.59,3.35,5.42,7.16,0.75,5.36,10.1,6.1,6.13,4.48,7.5,3.93,12.54,8.93,2.34,5.81,2.61,1.48,7.17,4.3
December,,,,,,,2.02,8.43,2.57,9.28,8.13,11.3,4.57,8.59,5.74,6.78,2.19,8,13.52,3.57,11.02,7.18,7.31,14.41,10.9,13.02,8.08,5.86,8.36,7.99
Total,,,,,,,48.06,96.25,56.77,55.24,50.92,64.66,76.97,67.74,60,58.88,54.16,82.01,80.43,72.27,59.92,55.44,71.05,74.56,46.92,66.85,64.58,48.55,59.96,45.93
