SPEAN BRIDGE (SPEAN LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NN221816,Long,-4.922054,Lat,56.891531,Elevation,200,ft,,,,,,,,,,,,
Station no,5738/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,10.62,7.7,6.97,7.5,8.86,6.87,6.24,4.43,7.35,7.72,,,,
February,,,,,,,5.13,6.85,6.44,3.41,7.88,10.08,3.33,6.16,7.88,6.36,,,,
March,,,,,,,7.29,6.25,6.14,0.08,4.03,4.24,6.62,8.86,4.52,5.02,,,,
April,,,,,,,4.35,3.07,2.14,3.82,6.05,5.21,8.1,4.9,6.59,5.8,,,,
May,,,,,,,3.75,3.92,3.51,3.8,4.71,3.48,2.54,3.83,3.67,1.44,,,,
June,,,,,,,1.48,4.42,3.31,1.1,1.74,3.17,4.28,5.76,2.69,1.3,,,,
July,,,,,,,3.92,2.03,3.48,4.61,3.99,4.09,1.95,1.26,2.3,3.21,,,,
August,,,,,,,5.65,7.79,5.41,4.47,5.49,4.03,3.74,2.63,5.47,2.88,,,,
September,,,,,,,3.39,2.49,7.84,2.71,1.91,4.74,3.58,2.04,3.95,2.53,,,,
October,,,,,,,8.93,3.05,1.24,10.26,3.05,3.01,6.97,5.95,1.97,3.02,,,,
November,,,,,,,5.54,5.52,5.83,4.9,3.08,10.64,8.48,11.43,10.51,2.16,,,,
December,,,,,,,6.77,5.76,6.18,6.11,4.53,9.95,14.75,7.98,10.53,5.19,,,,
Total,,,,,,,66.82,58.85,58.49,52.77,55.32,69.51,70.58,65.23,67.43,46.63,,,,
