SUTTON COLDFIELD THE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP115963,Long,-1.83178,Lat,52.564411,Elevation,371,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.88,3.15,3.49,1.19,1.09,2.22,2.57,0.99,3.53,1.07,0.66,1.09,2.02,0.68,4.43,3.8,1.04,2.83,1.12,2.51,1.9,3.24,3,2.03,2.8,1.77,2.7,2.14,2.62,2.74,4.35,1.61,4.63,1.31,1.88,1.24,2.79,1.09,3.13,3.94,3.04,5.98,2.64,3.98,3.63,4.95,2.4,1.91,2.02,1.94,4.84,1.47,0.74,2.64,2.28,1.16,0.93,1.98,3.24,0.89,2.01,2.8,5.84
February,,,,,,,,,1.38,1.92,4.47,1.73,1.48,0.99,3.65,0.6,1.99,0.93,1.26,0.68,2.95,1.52,1.5,0.75,1.73,3.4,4.61,1.08,1.14,3.01,1.33,0.21,2.39,4.68,0.62,2.59,1.87,2.33,2.24,0.67,0.68,2.39,0.4,3.52,0.37,2.69,2.81,4.02,0.75,1.44,2.36,2.96,1.23,1.16,1.93,2.23,3.28,1.35,1.52,0.73,4.9,2.7,0.55,1.37,2.23,2.32,1,2.58,4.62,0.3,2.31
March,,,,,,,,2.8,1.05,1.15,0.67,1.24,1.52,4.38,1.84,2.97,1.43,1.11,2.97,3.14,0.64,1.45,3.24,4.49,2.01,0.89,4.38,1.52,1.18,4.36,2.72,1.15,1.9,1.48,0.81,1.06,0.93,2.01,1.86,0.13,2.96,0.5,1.63,2.86,2.08,0.52,1.96,2.03,0.55,1.51,1.7,2.8,1.92,1.08,0.24,0.79,0.84,5.98,1.02,1.63,1.41,4.54,2.41,1.55,2.46,3,1.11,2.66,1.68,1.6,1.59
April,,,,,,,,1.82,1.36,2.16,0.83,2,2.57,1.54,1.12,1.88,1.35,1.84,2.89,1.77,2.63,0.94,0.26,3.4,0.95,1.07,1.05,1.41,2.65,1.69,4.22,1.27,2.62,2.38,3.07,2.57,2,1.5,1.07,0.66,2.82,3.87,3.45,0.93,3.02,3.66,2.15,2.47,0.13,1.87,3.93,1.82,1.63,0.8,2.1,0.98,1.74,2.08,1.58,2.65,2.25,2.38,2.53,2.4,0.39,1.08,1.22,0.26,0.76,3.6,0.79
May,,,,,,,,1.66,3.64,2.25,1.61,1.27,2.4,1.93,2.11,0.33,2.41,4.23,3.24,1.49,1.81,0.84,1.98,2.09,1.65,2.4,2.32,2.98,1.78,0.99,2.26,1.18,1.66,1.81,4.26,2.93,3.56,1.4,0.31,1.62,2.17,3.96,7.13,1.6,0.92,1.15,1.04,2.94,1.21,1.29,2.21,3.17,2.79,3.76,0.7,3.18,2.31,2.85,2.34,2.7,1.53,3.53,2.62,2.34,2.53,4.53,0.66,1.13,2.19,1.1,0.99
June,,,,,,,,3.39,1.36,2.44,2.52,2.57,1.92,1.97,0.47,3.29,2.1,3.88,2.76,3.91,0.97,1.72,4.67,1.51,3.23,0.67,1.77,2.58,0.62,1.31,2.49,0.51,0.92,0.57,1.62,0.13,1.34,4.78,2.94,1.37,1.12,3.17,1.27,2.8,0.9,3.08,3.28,1.09,2.21,1.53,1.47,1.17,0.36,1.88,1.47,2.57,4.98,1.26,3.15,0.34,1.36,1.1,1.84,2.13,3.4,2.71,1.81,1.02,4.77,1.1,2.24
July,,,,,,,,1.01,1.68,1.24,2.44,2.51,1.52,2.61,1.81,1.59,1.33,2.97,3.12,3.44,2.4,0.54,3.39,1.46,2.99,6.01,1.37,1.78,2.15,3.21,3.95,0.46,6.18,4.4,2.74,3.12,2.03,2.62,1.22,1.35,5.45,3.69,2.5,2.2,1.43,0.61,6.22,2.53,2.82,4.8,2.94,3.98,1.83,0.83,2.46,2.04,1.6,2.11,1.72,1.39,2.28,0.85,1.8,2.92,3.63,0.42,2.01,3.36,5.66,2.3,2.93
August,,,,,,,,5.08,2.33,1.25,3.41,1.77,4.5,4.28,1.97,4.77,0.89,2.45,2.69,2.32,4.3,1.48,6.78,1.13,1.9,2.22,2.22,5.93,1.95,2.66,1.22,5.02,4.84,1.84,2.87,2.43,1.85,2.53,2.5,1.65,3.09,5.03,1.98,0.82,1.9,1.67,0.87,1.2,2.84,3.87,0.14,3.81,3.7,1.8,2.42,2.37,6.15,0.64,4.33,1.3,3.27,4.04,3.15,2.15,4.94,0.61,5.03,4.61,3.31,2.3,3.54
September,,,,,,,,2.37,0.55,3.43,0.53,0.75,1.93,3.24,1.92,0.9,1.29,0.8,1.86,2.32,0.75,0.95,0.69,1.89,0.95,0.27,1.03,1.92,5.26,1.77,2.24,0.94,1.81,3.01,3.43,3.75,1.03,3.6,0.91,0.73,4,3.38,2.78,0.76,2.19,3.56,3.22,2.08,2.59,0.81,0.77,0.35,1.39,1.9,2.63,1.24,3.65,1.3,3.03,1.29,4.01,2.54,1.36,2.03,1.58,1.65,2.26,4.65,2.89,0.25,5.49
October,,,,,,,,1.31,2.92,2.33,3.18,1.63,2.37,5.52,0.96,1.25,4.33,4.34,2.31,3.55,2.22,1.81,2.48,2.84,1.59,1.78,3.29,3.1,1.44,2.85,2.85,2.16,0.3,3.12,3.57,3.55,2.5,1.64,4.84,3.7,2.7,0.88,3.51,4.53,1.87,3.5,1.99,2.74,2.75,3.59,3.7,2.55,2.55,1.83,3.09,3.65,0.79,0.59,3.12,5.65,0.88,0.79,3.99,1.17,3.87,1.63,1.43,1.59,2.74,3,4.57
